id,name,min_age_months
347,"Cheese, Parmesan, hard",12
348,"Cheese, Parmesan, dry grated, fat free",12
349,"Cheese, Port du Salut",8
350,"Cheese, Provolone",8
351,"Cheese, provolone, reduced fat",8
352,"Cheese, Swiss",8
353,"Cheese, Swiss, reduced sodium",8
354,"Cheese, Swiss, reduced fat",8
355,"Cheese, Swiss, nonfat or fat free",8
356,"Cheese, Cheddar, reduced sodium",8
357,"Cheese, paneer",8
358,"Cheese, Mexican blend",8
359,"Cheese, Mexican blend, reduced fat",8
360,"Queso Anejo, aged Mexican cheese",8
361,Queso Asadero,8
362,Queso Fresco,8
363,Queso cotija,8
364,"Cheese, cottage, NFS",8
365,"Cheese, cottage, creamed, large or small curd",8
366,"Cottage cheese, farmer's",8
367,"Cheese, Ricotta",8
368,"Cheese, cottage, with fruit",8
369,"Cheese, cottage, with vegetables",8
370,"Cheese, cottage, dry curd",8
371,"Cheese, cottage, salted, dry curd",8
372,Puerto Rican white cheese,8
373,"Cheese, cottage, low fat",8
374,"Cheese, cottage, lowfat, with fruit",8
375,"Cheese, cottage, lowfat, low sodium",8
376,"Cheese, cottage, lowfat, lactose reduced",8
377,"Cream cheese, regular, plain",8
378,"Cream cheese, regular, flavored",8
379,"Cream cheese, light",8
380,"Cheese, American and Swiss blends",8
381,"Cheese, American",8
382,"Cheese, American, reduced fat",8
383,"Cheese, American, nonfat or fat free",8
384,"Cheese, American, reduced sodium",8
385,"Cheese spread, American or Cheddar cheese base, reduced fat",8
386,"Cream cheese, fat free",8
387,"Cheese, processed cheese food",8
388,"Cheese, processed, with vegetables",8
389,"Cheese,  with wine",252
390,"Cheese spread, American or Cheddar cheese base",8
391,"Cheese spread, Swiss cheese base",8
392,"Cheese spread, cream cheese",8
393,"Cheese spread, pressurized can",8
394,Imitation cheese,8
395,"Cheese, cottage cheese, with gelatin dessert",24
396,"Cheese, cottage cheese, with gelatin dessert and fruit",24
397,"Cheese, cottage cheese, with gelatin dessert and vegetables",24
398,Cheese ball,8
399,Artichoke dip,8
400,Spinach and artichoke dip,8
401,Seafood dip,8
402,Cheese dip with chili pepper,24
403,Cheese dip,8
404,Topping from cheese pizza,8
405,Topping from vegetable pizza,8
406,Topping from meat pizza,8
407,Topping from meat and vegetable pizza,8
408,Cheese fondue,8
409,Cheese souffle,8
410,Welsh rarebit,8
411,"Cheese sandwich, NFS",9
412,"Cheese sandwich, American cheese, on white bread",9
413,"Cheese sandwich, American cheese, on wheat bread",9
414,"Cheese sandwich, cheddar cheese, on white bread",9
415,"Cheese sandwich, cheddar cheese, on wheat bread",9
416,"Cheese sandwich, reduced fat cheese, on white bread",9
417,"Cheese sandwich, reduced fat cheese, on wheat bread",9
418,"Grilled cheese sandwich, NFS",9
419,"Grilled cheese sandwich, American cheese, on white bread",9
420,"Grilled cheese sandwich, American cheese, on wheat bread",9
421,"Grilled cheese sandwich, cheddar cheese, on white bread",9
422,"Grilled cheese sandwich, cheddar cheese, on wheat bread",9
423,"Grilled cheese sandwich, reduced fat cheese, on white bread",9
424,"Grilled cheese sandwich, reduced fat cheese, on wheat bread",9
425,Cheese sauce,8
426,Alfredo sauce,8
427,Alfredo sauce with added vegetables,8
428,Alfredo sauce with meat,8
429,Alfredo sauce with meat and added vegetables,8
430,Alfredo sauce with poultry,8
431,Alfredo sauce with poultry and added vegetables,8
432,Alfredo sauce with seafood,8
433,Alfredo sauce with seafood and added vegetables,8
434,"Mozzarella sticks, breaded, baked, or fried",12
435,"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing",8
436,"Meat, NFS",8
437,"Meat, ground, NFS",8
438,"Baby Toddler meat, NFS",6
439,"Beef, NFS",8
440,"Steak, NS as to type of meat, NS as to fat eaten",8
441,"Beef, steak, NFS",8
442,"Beef, steak, chuck",8
443,"Beef, steak, cube",8
444,"Beef, steak, flank",8
445,"Beef, steak, ribeye, NS as to fat eaten",8
446,"Beef, steak, ribeye, lean and fat eaten",8
447,"Beef, steak, ribeye, lean only eaten",8
448,"Beef, steak, round",8
449,"Beef, steak, sirloin, NS as to fat eaten",8
450,"Beef, steak, sirloin, lean and fat eaten",8
451,"Beef, steak, sirloin, lean only eaten",8
452,"Beef, steak, strip, NS as to fat eaten",8
453,"Beef, steak, strip, lean and fat eaten",8
454,"Beef, steak, strip, lean only eaten",8
455,"Beef, steak, T-bone, NS as to fat eaten",8
456,"Beef, steak, T-bone,  lean and fat eaten",8
457,"Beef, steak, T-bone, lean only eaten",8
458,"Beef, steak, tenderloin",8
459,"Beef, steak, country fried",12
460,"Beef, oxtails",8
461,"Beef, neck bones",8
462,"Beef, shortribs",8
463,"Beef, cow head",8
464,"Beef, roast",8
465,"Beef, pot roast",8
466,"Beef, stew meat",12
467,"Beef, corned",8
468,"Beef, brisket",8
469,"Beef, sandwich steak",9
470,"Beef, ground, raw",60
471,"Beef, ground",8
472,"Beef, ground, patty",8
473,"Beef, bacon, cooked",8
474,"Beef, bacon, reduced sodium, cooked",8
475,"Beef, dried, chipped, uncooked",60
476,"Beef, dried, chipped, cooked in fat",8
477,Beef jerky,48
478,Baby Toddler beef,6
479,"Pork, NFS",8
480,"Pork, ground",8
481,"Pork, carnitas",8
482,Pork jerky,48
483,"Pork, chop, NS as to fat eaten",8
484,"Pork, chop, lean and fat eaten",8
485,"Pork, chop, lean only eaten",8
486,"Pork, chop, coated, NS as to fat eaten",8
487,"Pork, chop, coated, lean and fat eaten",8
488,"Pork, chop, coated, lean only eaten",8
489,"Pork, chop, stuffed",8
490,"Pork, steak, NS as to fat eaten",8
491,"Pork, steak, lean and fat eaten",8
492,"Pork, steak, lean only eaten",8
493,"Pork, steak, coated",8
494,"Pork, tenderloin",8
495,Ham,8
496,"Ham, prosciutto",8
497,"Ham, canned",8
498,"Ham, ground",8
499,"Pork, roast",8
500,"Pork, roll",9
501,"Canadian bacon, cooked",8
502,"Bacon, NS as to type of meat, cooked",8
503,"Bacon, NS as to type of meat, reduced sodium, cooked",8
504,"Pork bacon, NS as to fresh, smoked or cured, cooked",8
505,"Pork bacon, NS as to fresh, smoked or cured, reduced sodium, cooked",8
506,"Pork bacon, smoked or cured, cooked",8
507,"Bacon or side pork, fresh, cooked",8
508,"Pork bacon, smoked or cured, reduced sodium, cooked",8
509,"Fat back, cooked",8
510,"Ribs, NFS",8
511,"Pork, ribs",8
512,"Pork, cracklings",8
513,"Pork, ears",8
514,"Pork, bones",8
515,"Pork, pig's feet",8
516,"Pork, pig's feet, pickled",8
517,"Pork, ham hocks",8
518,"Pork, belly",8
519,Pork skin rinds,8
520,Baby Toddler ham,6
521,Baby Toddler meat stick,6
522,"Lamb, NS as to cut",8
523,"Lamb, chop",8
524,"Lamb, ground",8
525,Goat,8
526,"Veal, chop",8
527,"Veal, ground",8
528,Mock chicken legs,8
529,Rabbit,8
530,"Venison, NFS",8
531,"Venison, steak",8
532,Venison/deer jerky,48
533,Venison sausage,18
534,Moose,8
535,Bear,8
536,Caribou,8
537,Bison,8
538,Groundhog,8
539,Opossum,8
540,Squirrel,8
541,Beaver,8
542,Raccoon,8
543,Armadillo,8
544,Wild pig,8
545,Ostrich,8
546,"Chicken, NS as to part and cooking method, NS as to skin eaten",8
547,"Chicken, NS as to part and cooking method, skin eaten",8
548,"Chicken, NS as to part and cooking method, skin not eaten",8
549,"Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten",8
550,"Chicken, NS as to part, baked, broiled, or roasted, skin eaten",8
551,"Chicken, NS as to part, baked, broiled, or roasted, skin not eaten",8
552,"Chicken, NS as to part, rotisserie, NS as to skin eaten",8
553,"Chicken, NS as to part, rotisserie, skin eaten",8
554,"Chicken, NS as to part, rotisserie, skin not eaten",8
555,"Chicken, NS as to part, stewed, NS as to skin eaten",12
556,"Chicken, NS as to part, stewed, skin eaten",12
557,"Chicken, NS as to part, stewed, skin not eaten",12
558,"Chicken, NS as to part, grilled without sauce, NS as to skin eaten",8
559,"Chicken, NS as to part, grilled without sauce, skin eaten",8
560,"Chicken, NS as to part, grilled without sauce, skin not eaten",8
561,"Chicken, NS as to part, grilled with sauce, NS as to skin eaten",8
562,"Chicken, NS as to part, grilled with sauce, skin eaten",8
563,"Chicken, NS as to part, grilled with sauce, skin not eaten",8
564,"Chicken, NS as to part, sauteed, skin eaten",12
565,"Chicken, NS as to part, sauteed, skin not eaten",12
566,"Chicken, NS as to part, fried, coated, skin / coating eaten",12
567,"Chicken, NS as to part, fried, coated, skin / coating not eaten",12
568,"Chicken, NS as to part, baked, coated, skin / coating eaten",8
569,"Chicken, NS as to part, baked, coated, skin / coating not eaten",8
570,"Chicken breast, NS as to cooking method, skin eaten",8
571,"Chicken breast, NS as to cooking method, skin not eaten",8
572,"Chicken breast, baked, broiled, or roasted, skin eaten, from raw",8
573,"Chicken breast, baked, broiled, or roasted, skin not eaten, from raw",8
574,"Chicken breast, baked or broiled, skin eaten, from pre-cooked",8
575,"Chicken breast, baked or broiled, skin not eaten, from pre-cooked",8
576,"Chicken breast, baked or broiled, skin eaten, from fast food / restaurant",8
577,"Chicken breast, baked or broiled, skin not eaten, from fast food / restaurant",8
578,"Chicken breast, baked, broiled, or roasted with marinade, skin eaten, from raw",8
579,"Chicken breast, baked, broiled, or roasted with marinade, skin not eaten, from raw",8
580,"Chicken breast, rotisserie, skin eaten",8
581,"Chicken breast, rotisserie, skin not eaten",8
582,"Chicken breast, stewed, skin eaten",12
583,"Chicken breast, stewed, skin not eaten",12
584,"Chicken breast, grilled without sauce, skin eaten",8
585,"Chicken breast, grilled without sauce, skin not eaten",8
586,"Chicken breast, grilled with sauce, skin eaten",8
587,"Chicken breast, grilled with sauce, skin not eaten",8
588,"Chicken breast, sauteed, skin eaten",12
589,"Chicken breast, sauteed, skin not eaten",12
590,"Chicken breast, fried, coated, skin / coating eaten, from raw",12
591,"Chicken breast, fried, coated, skin / coating not eaten, from raw",12
592,"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",12
593,"Chicken breast, fried, coated, skin / coating eaten, from pre-cooked",12
594,"Chicken breast, fried, coated, skin / coating not eaten, from pre-cooked",12
595,"Chicken breast, fried, coated, skin / coating eaten, from fast food / restaurant",12
596,"Chicken breast, fried, coated, skin / coating not eaten, from fast food / restaurant",12
597,"Chicken breast, baked, coated, skin / coating eaten",8
598,"Chicken breast, baked, coated, skin / coating not eaten",8
599,"Chicken leg, drumstick and thigh, NS as to cooking method, skin eaten",8
600,"Chicken leg, drumstick and thigh, NS as to cooking method, skin not eaten",8
601,"Chicken leg, drumstick and thigh, baked or broiled, skin eaten",8
602,"Chicken leg, drumstick and thigh, baked or broiled, skin not eaten",8
603,"Chicken leg, drumstick and thigh, rotisserie, skin eaten",8
604,"Chicken leg, drumstick and thigh, rotisserie, skin not eaten",8
605,"Chicken leg, drumstick and thigh, stewed, skin eaten",12
606,"Chicken leg, drumstick and thigh, stewed, skin not eaten",12
607,"Chicken leg, drumstick and thigh, grilled without sauce, skin eaten",8
608,"Chicken leg, drumstick and thigh, grilled without sauce, skin not eaten",8
609,"Chicken leg, drumstick and thigh, grilled with sauce, skin eaten",8
610,"Chicken leg, drumstick and thigh, grilled with sauce, skin not eaten",8
611,"Chicken leg, drumstick and thigh, sauteed, skin eaten",12
612,"Chicken leg, drumstick and thigh, sauteed, skin not eaten",12
613,"Chicken leg, drumstick and thigh, fried, coated, skin / coating eaten",12
614,"Chicken leg, drumstick and thigh, fried, coated, skin / coating not eaten",12
615,"Chicken leg, drumstick and thigh, baked, coated, skin / coating eaten",8
616,"Chicken leg, drumstick and thigh, baked, coated, skin / coating not eaten",8
617,"Chicken drumstick, NS as to cooking method, skin eaten",8
618,"Chicken drumstick, NS as to cooking method, skin not eaten",8
619,"Chicken drumstick, baked, broiled, or roasted, skin eaten, from raw",8
620,"Chicken drumstick, baked, broiled, or roasted, skin not eaten, from raw",8
621,"Chicken drumstick, baked or broiled, skin eaten, from pre-cooked",8
622,"Chicken drumstick, baked or broiled, skin not eaten, from pre-cooked",8
623,"Chicken drumstick, baked or broiled, skin eaten, from fast food / restaurant",8
624,"Chicken drumstick, baked or broiled, skin not eaten, from fast food / restaurant",8
625,"Chicken drumstick, rotisserie, skin eaten",8
626,"Chicken drumstick, rotisserie, skin not eaten",8
627,"Chicken drumstick, grilled without sauce, skin eaten",8
628,"Chicken drumstick, grilled without sauce, skin not eaten",8
629,"Chicken drumstick, grilled with sauce, skin eaten",8
630,"Chicken drumstick, grilled with sauce, skin not eaten",8
631,"Chicken drumstick, stewed, skin eaten",12
632,"Chicken drumstick, stewed, skin not eaten",12
