fdc_id,name,food_category_id,allergens,diets,min_age_months,max_age_months
167617,"Duck, scoter, white-winged, meat (Alaska Native)",24,,High-Protein,24,
167618,"Sea cucumber, yane (Alaska Native)",24,,Pescatarian,24,
167619,"Squirrel, ground, meat (Alaska Native)",24,,High-Protein,24,
167620,"Tea, tundra, herb and laborador combination (Alaska Native)",24,,"Vegan,Vegetarian",24,
167621,"Walrus, meat, dried (Alaska Native)",24,,High-Protein,24,
167622,"Deer (venison), sitka, raw (Alaska Native)",24,,High-Protein,24,
167623,"Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)",24,,High-Protein,24,
167624,"Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)",24,,High-Protein,24,
167625,"Oil, whale, bowhead (Alaska Native)",24,,High-Protein,24,
167626,"Fish, whitefish, broad, liver (Alaska Native)",24,Fish,"High-Protein,Pescatarian",24,
167627,"Mush, blue corn with ash (Navajo)",24,,"Vegan,Vegetarian",24,
167628,"Cornmeal, blue (Navajo)",24,,"Vegan,Vegetarian",24,
167629,"Melon, banana (Navajo)",24,,"Vegan,Vegetarian,Vitamin-Rich",24,
167630,Chilchen (Red Berry Beverage) (Navajo),24,,"Vegan,Vegetarian,Vitamin-Rich",24,
167631,"Corn, dried (Navajo)",24,,"Vegan,Vegetarian",24,
167632,"Squash, Indian, cooked, boiled (Navajo)",24,,"Vegan,Vegetarian,Vitamin-Rich",24,
167633,"Bread, kneel down (Navajo)",24,Cereals containing gluten,"Vegan,Vegetarian",24,
167634,"Mutton, cooked, roasted (Navajo)",24,,High-Protein,24,
167635,"Frybread, made with lard (Navajo)",24,Cereals containing gluten,High-Protein,24,
167636,Tamales (Navajo),24,,High-Protein,24,
167637,"Stew, steamed corn (Navajo)",24,,"Vegan,Vegetarian",24,
167638,"Fish, halibut, raw, with skin (Alaska Native)",24,Fish,"High-Protein,Pescatarian",24,
167639,"Fish, salmon, coho (silver), raw (Alaska Native)",24,Fish,"High-Protein,Pescatarian",24,
167640,"Blueberries, wild, raw (Alaska Native)",24,,"Vegan,Vegetarian,Vitamin-Rich",24,
167641,"Oil, spotted seal (Alaska Native)",24,,High-Protein,24,
167642,"Fish, salmon, red, canned, bones removed (Alaska Native)",24,Fish,"High-Protein,Pescatarian",24,
167643,"Fish, whitefish, eggs (Alaska Native)",24,"Eggs,Fish","High-Protein,Pescatarian",24,
167644,"Caribou, rump meat, half dried (Alaska Native)",24,,High-Protein,24,
167645,"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)",24,Fish,"High-Protein,Pescatarian",24,
167646,"Fish, salmon, red, (sockeye), kippered (Alaska Native)",24,Fish,"High-Protein,Pescatarian",24,
167647,"Fish, salmon, king, with skin, kippered, (Alaska Native)",24,Fish,"High-Protein,Pescatarian",24,
167648,"Fish, sheefish, raw (Alaska Native)",24,Fish,"High-Protein,Pescatarian",24,
167649,"Buffalo, free range, top round steak, raw (Shoshone Bannock)",24,,High-Protein,24,
167650,"Seal, bearded (Oogruk), meat, partially dried (Alaska Native)",24,,High-Protein,24,
167651,"Buffalo, free range, top round steak, cooked (Shoshone Bannock)",24,,High-Protein,24,
167652,"Elk, free range, roast, eye of round, raw (Shoshone Bannock)",24,,High-Protein,24,
167653,"Corn, dried, yellow (Northern Plains Indians)",24,,"Vegan,Vegetarian",24,
167654,"Smelt, dried (Alaska Native)",24,Fish,"High-Protein,Pescatarian",24,
167655,"Frybread, made with lard (Apache)",24,Cereals containing gluten,High-Protein,24,
167656,Corned beef and potatoes in tortilla (Apache),24,Cereals containing gluten,"High-Protein,Vitamin-Rich",24,
167657,"ON THE BORDER, soft taco with ground beef, cheese and lettuce",25,"Cereals containing gluten,Milk",High-Protein,24,
167658,"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",25,"Cereals containing gluten,Milk",High-Protein,24,
167659,"Restaurant, Latino, chicken and rice, entree, prepared",25,Cereals containing gluten,High-Protein,24,
167660,"Restaurant, Latino, empanadas, beef, prepared",25,Cereals containing gluten,High-Protein,24,
167661,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",25,,"High-Protein,Vegan,Vegetarian",24,
167662,"Restaurant, Latino, pupusas con queso (pupusas, cheese)",25,Milk,"High-Protein,Vegetarian",24,
167663,"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",25,,High-Protein,24,
167664,"Restaurant, Latino, tamale, corn",25,,"Vegan,Vegetarian",24,
167665,"Restaurant, Mexican, spanish rice",25,Cereals containing gluten,"Vegan,Vegetarian",24,
167666,"Restaurant, Mexican, refried beans",25,,"High-Protein,Vegan,Vegetarian",24,
167667,"Restaurant, Chinese, egg rolls, assorted",25,"Cereals containing gluten,Eggs",Vegetarian,24,
167668,"Restaurant, Chinese, fried rice, without meat",25,Cereals containing gluten,"Vegan,Vegetarian",24,
167669,"CRACKER BARREL, steak fries",25,,"Vegan,Vegetarian,Vitamin-Rich",24,
167670,"CRACKER BARREL, grilled sirloin steak",25,,High-Protein,24,
167671,"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",25,"Cereals containing gluten,Milk","High-Protein,Vegetarian",24,
167672,"DENNY'S, french fries",25,,"Vegan,Vegetarian,Vitamin-Rich",24,
167673,"DENNY'S, top sirloin steak",25,,High-Protein,24,
167674,"Restaurant, Chinese, lemon chicken",25,Cereals containing gluten,High-Protein,24,
167675,"Restaurant, Chinese, general tso's chicken",25,"Cereals containing gluten,Soybeans",High-Protein,24,
167676,"Restaurant, Chinese, kung pao chicken",25,"Cereals containing gluten,Peanuts",High-Protein,48,
167677,"Restaurant, Chinese, vegetable lo mein, without meat",25,Cereals containing gluten,"Vegan,Vegetarian,Vitamin-Rich",24,
167678,"Restaurant, Chinese, chicken and vegetables",25,,"High-Protein,Vitamin-Rich",24,
167679,"Restaurant, Chinese, orange chicken",25,Cereals containing gluten,High-Protein,24,
167680,"Restaurant, Italian, spaghetti with meat sauce",25,Cereals containing gluten,High-Protein,24,
167681,"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame",14,,"No Added Sugar,Vegan,Vegetarian,Vitamin-Rich",24,
167682,"Pectin, liquid",19,,"Vegan,Vegetarian",24,
167683,"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated",19,"Milk,Soybeans","Low-Fat,No Added Sugar,Vegetarian",24,
167684,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",4,"Eggs,Milk",Vegetarian,24,
167685,"Bologna, beef and pork, low fat",7,,"High-Protein,Low-Fat",24,
167686,"Milk dessert, frozen, milk-fat free, chocolate",19,Milk,"Fat-Free,Low-Fat,Vegetarian",24,
167687,"Whipped topping, frozen, low fat",1,"Milk,Soybeans","Low-Fat,Vegetarian",24,
167688,"Cream substitute, powdered, light",1,"Milk,Soybeans",Vegetarian,24,
167689,"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies",19,"Milk,Peanuts,Soybeans",Vegetarian,48,
167690,"Babyfood, apple yogurt dessert, strained",3,Milk,"High-Protein,Vegetarian,Vitamin-Rich",4,24.0
167691,"Vegetable oil-butter spread, reduced calorie",4,Milk,Vegetarian,24,
167692,"Salad dressing, blue or roquefort cheese dressing, light",4,"Eggs,Milk",Vegetarian,24,
167693,"Salad dressing, french dressing, reduced calorie",4,,"Vegan,Vegetarian",24,
167694,"Sausage, turkey and pork, fresh, bulk, patty or link, cooked",7,,High-Protein,24,
167695,"Mayonnaise, made with tofu",4,Soybeans,"Vegan,Vegetarian",24,
167696,"Frankfurter, beef, low fat",7,,"High-Protein,Low-Fat",24,
167697,"Milk, buttermilk, fluid, cultured, reduced fat",1,Milk,"High-Protein,Low-Fat,Vegetarian",24,
167698,"Pork sausage rice links, brown and serve, cooked",7,"Cereals containing gluten,Soybeans",High-Protein,24,
167699,"Salad dressing, blue or roquefort cheese dressing, fat-free",4,Milk,"Fat-Free,Low-Fat,Vegetarian",24,
167700,"Salad Dressing, mayonnaise-like, fat-free",4,Eggs,"Fat-Free,Low-Fat,Vegetarian",24,
167701,"Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar",19,"Eggs,Milk,Soybeans",Vegetarian,24,
167702,"Oil, flaxseed, cold pressed",4,,"Vegan,Vegetarian",24,
167703,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",1,Milk,"High-Protein,Lactose-Free,Low-Fat,Vegetarian",24,
167704,"Salad dressing, bacon and tomato",4,,"High-Protein,Vitamin-Rich",24,
167705,"Cheese, parmesan, low sodium",1,Milk,"High-Protein,Low Sodium,Vegetarian",24,
167706,"Jams, preserves, marmalade, reduced sugar",19,,"No Added Sugar,Vegan,Vegetarian,Vitamin-Rich",24,
167707,"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",14,,"No Added Sugar,Vegan,Vegetarian,Vitamin-Rich",24,
167708,"Tomato and vegetable juice, low sodium",11,Celery,"Low Sodium,Vegan,Vegetarian,Vitamin-Rich",24,
167709,"Turkey, wing, smoked, cooked, with skin, bone removed",5,,High-Protein,24,
167710,"Turkey, drumstick, smoked, cooked, with skin, bone removed",5,,High-Protein,24,
167711,"Beverages, Chocolate-flavored drink, whey and milk based",14,"Milk,Soybeans",Vegetarian,24,
167712,"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",10,,"High-Protein,Low Sodium",24,
167713,"Turkey, light or dark meat, smoked, cooked, skin and bone removed",5,,High-Protein,24,
167714,"Hearts of palm, raw",11,,"Vegan,Vegetarian,Vitamin-Rich",24,
167715,"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",8,Cereals containing gluten,"Vegan,Vegetarian",24,
167716,"Cheese, cottage, lowfat, 1% milkfat, with vegetables",1,Milk,"High-Protein,Low-Fat,Vegetarian,Vitamin-Rich",24,
167717,Yeast extract spread,11,"Cereals containing gluten,Cereals containing gluten (barley),Celery","Vegan,Vegetarian",24,
167718,"Babyfood, juice, pear",3,,"Vegan,Vegetarian,Vitamin-Rich",4,24.0
167719,"Chicken, meatless, breaded, fried",16,"Cereals containing gluten,Soybeans","High-Protein,Vegetarian",24,
167720,"Babyfood, meat, beef with vegetables, toddler",3,,"High-Protein,Vitamin-Rich",12,24.0
167721,"Frozen novelties, juice type, juice with cream",19,Milk,"Vegetarian,Vitamin-Rich",24,
167722,Tofu yogurt,16,Soybeans,"High-Protein,Vegan,Vegetarian",24,
167723,"Alcoholic beverage, rice (sake)",14,,"Vegan,Vegetarian",252,
167724,"Millet, puffed",8,,"Vegan,Vegetarian",24,
167725,"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",8,"Cereals containing gluten,Cereals containing gluten (oats)","Vegan,Vegetarian",24,
167726,"Babyfood, mixed fruit yogurt, strained",3,Milk,"High-Protein,Vegetarian,Vitamin-Rich",4,24.0
167727,"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",14,"Milk,Soybeans","Gluten-Free,High-Protein,Kosher,Vegetarian",24,
167728,"Babyfood, rice and apples, dry",3,,"Gluten-Free,Vegan,Vegetarian,Vitamin-Rich",4,24.0
167729,"Babyfood, juice, apple - cherry",3,,"Vegan,Vegetarian,Vitamin-Rich",4,24.0
167730,"Milk, imitation, non-soy",1,,Vegetarian,24,
167731,"Babyfood, cereal, rice with pears and apple, dry, instant fortified",3,,"Gluten-Free,Vegan,Vegetarian,Vitamin-Rich",4,24.0
167732,"Babyfood, banana no tapioca, strained",3,,"Vegan,Vegetarian,Vitamin-Rich",4,24.0
167733,"Babyfood, banana apple dessert, strained",3,,"Vegan,Vegetarian,Vitamin-Rich",4,24.0
167734,"Breakfast bar, corn flake crust with fruit",23,"Cereals containing gluten,Milk,Soybeans","Vegetarian,Vitamin-Rich",24,
167735,"Cheese, mozzarella, low sodium",1,Milk,"High-Protein,Low Sodium,Vegetarian",24,
167736,"Mayonnaise dressing, no cholesterol",4,Eggs,Vegetarian,24,
167737,"Oil, corn, peanut, and olive",4,Peanuts,"Vegan,Vegetarian",48,
167738,"Pie fillings, blueberry, canned",19,,"Vegan,Vegetarian,Vitamin-Rich",24,
167739,"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen",14,,"Vegan,Vegetarian,Vitamin-Rich",24,
167740,"Puddings, chocolate flavor, low calorie, regular, dry mix",19,Milk,"Low-Fat,Vegetarian",24,
167741,"Puddings, all flavors except chocolate, low calorie, regular, dry mix",19,,"Vegan,Vegetarian",24,
167742,"Mollusks, scallop, (bay and sea), cooked, steamed",15,Molluscs,"High-Protein,Pescatarian",24,
167743,"Syrup, Cane",19,,"Vegan,Vegetarian",24,
167744,"Mollusks, snail, raw",15,Molluscs,"High-Protein,Pescatarian",24,
167745,"Turtle, green, raw",15,,High-Protein,24,
167746,"Lemons, raw, without peel",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167747,"Lemon juice, raw",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167748,"Lemon juice from concentrate, canned or bottled",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167749,"Lemon peel, raw",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167750,"Prickly pears, raw",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167751,"Plums, dried (prunes), stewed, without added sugar",9,,"No Added Sugar,Vegan,Vegetarian,Vitamin-Rich",24,
167752,"Plums, dried (prunes), stewed, with added sugar",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167753,"Prune juice, canned",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167754,"Pummelo, raw",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167755,"Raspberries, raw",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167756,"Raspberries, canned, red, heavy syrup pack, solids and liquids",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167757,"Raspberries, frozen, red, sweetened",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167758,"Rhubarb, raw",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167759,"Sapodilla, raw",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167760,"Sapote, mamey, raw",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167761,"Soursop, raw",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167762,"Strawberries, raw",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167763,"Tamarinds, raw",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167764,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167765,"Watermelon, raw",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167766,"Maraschino cherries, canned, drained",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167767,"Pineapple, canned, juice pack, drained",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167768,"Apricots, canned, heavy syrup, drained",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167769,"Cherries, sour, canned, water pack, drained",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167770,"Cherries, sweet, canned, pitted, heavy syrup, drained",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167771,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",9,,"No Added Sugar,Vegan,Vegetarian,Vitamin-Rich",24,
167772,"Applesauce, canned, unsweetened, with added ascorbic acid",9,,"No Added Sugar,Vegan,Vegetarian,Vitamin-Rich",24,
167773,"Applesauce, canned, sweetened, with salt",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167774,"Grapefruit juice, pink, raw",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167775,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",9,,"No Added Sugar,Vegan,Vegetarian,Vitamin-Rich",24,
167776,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167777,"Pears, raw, red anjou",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167778,"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167779,"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)",9,,"Vegan,Vegetarian,Vitamin-Rich",24,
167780,Prune puree,9,,"Vegan,Vegetarian,Vitamin-Rich",24,
