id,Title,Desc,Muscle Group,metValue,sports,Minimal Age (months)
16,30 Barbell Floor Wiper,"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles.","Obliques, Abs, Shoulders, Chest",5.5,"Crossfit, Strength Training",192
17,30 Barbell Roll-Out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.","Abs, Lats, Shoulders",5.0,Strength Training,192
18,Decline plate sit-up,"The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Abs,4.0,"Bodybuilding, Strength Training",168
19,KV Barbell Hip Thrust,"The barbell hip thrust is a popular glute-strengthening exercise. It involves sitting on the floor with your upper back against a bench and a barbell across your hips. You then drive your hips upward, squeezing your glutes, until your body forms a straight line from your shoulders to your knees.","Glutes, Hamstrings",5.0,"Athletics, Bodybuilding, Strength Training",192
20,Advanced Kettlebell Windmill,"The advanced kettlebell windmill is a full-body exercise that challenges your core, shoulders, and hips.","Full Body, Shoulders, Obliques, Hamstrings",6.0,"Fitness, Kettlebell Training, Mobility",168
21,Kettlebell Windmill,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.","Shoulders, Obliques, Hamstrings, Full Body",5.5,"Fitness, Kettlebell Training, Mobility",168
22,Kettlebell Pass Between The Legs,The kettlebell pass between the legs is a dynamic exercise that improves coordination and core stability. It involves swinging a kettlebell and passing it from one hand to the other between your legs.,"Abs, Obliques, Full Body",6.5,"Fitness, Kettlebell Training",168
23,Kettlebell 3-point leg extension,"The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout.","Abs, Obliques",4.5,"Circuit Training, Kettlebell Training",168
24,Double Kettlebell Swing,"The double kettlebell swing is a powerful, full-body exercise that enhances strength, power, and cardiovascular fitness. It involves swinging two kettlebells from between your legs up to chest level, using a powerful hip hinge.","Hamstrings, Glutes, Lower Back, Shoulders, Full Body",10.5,"Crossfit, HIIT, Kettlebell Training, Strength Training",192
25,Burpee over kettlebell,"The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training.",Full Body,10.0,"Crossfit, Fitness, HIIT",192
26,Kettlebell toe-touch,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.",Abs,4.0,"Kettlebell Training, Strength Training",168
27,Kettlebell swing,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.","Hamstrings, Glutes, Lower Back, Full Body",9.8,"Cardio, Crossfit, Fitness, HIIT, Kettlebell Training",168
28,Two-way swing,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.","Hamstrings, Glutes, Lower Back, Shoulders, Full Body",11.0,"Crossfit, HIIT, Kettlebell Training",192
29,Kettlebell crab reach,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.","Full Body, Glutes, Shoulders, Abs, Back",6.5,"Fitness, Kettlebell Training, Mobility",168
30,Taylor Single-Arm Kettlebell Swing,The Taylor single-arm kettlebell swing is a variation of the traditional kettlebell swing that is performed with one arm. This unilateral movement challenges your core to resist rotation and improves grip strength.,"Hamstrings, Glutes, Lower Back, Obliques, Full Body",9.5,"Crossfit, Fitness, Kettlebell Training",168
31,Holman Kettlebell Up to Elbow Down,"The Kettlebell Up to Elbow Down is a full-body exercise that improves strength, stability, and coordination. It involves moving from a lying position to an elbow-supported position while holding a kettlebell, engaging the core, shoulders, and back.","Full Body, Abs, Shoulders, Back",5.0,"Fitness, Kettlebell Training",168
32,FYR2 Double-Kettlebell Ski,The FYR2 double-kettlebell ski swing is a dynamic exercise that mimics the motion of skiing. It involves swinging two kettlebells back between your legs and then explosively extending your hips and knees to swing them forward.,"Hamstrings, Glutes, Lower Back, Full Body",9.0,"Fitness, HIIT, Kettlebell Training",168
33,FYR2 Kettlebell Hike,"The Kettlebell Hike is a dynamic exercise targeting the posterior chain (glutes, hamstrings, and lower back). It involves swinging a kettlebell between the legs using an explosive hip hinge movement, making it great for developing power and strength.","Hamstrings, Glutes, Lower Back, Full Body",8.5,"Fitness, Kettlebell Training",168
34,FYR2 Kettlebell Cross-Body Catch,The FYR2 kettlebell cross-body catch is a coordination and agility drill. It involves tossing a kettlebell from one hand to the other across your body.,"Full Body, Abs, Obliques",5.0,"Fitness, Kettlebell Training",168
35,FYR2 Kettlebell Duck Walk,"The Kettlebell Duck Walk is a challenging lower-body exercise that improves strength, mobility, and endurance. It involves walking in a deep squat position while holding a kettlebell, engaging the quads, glutes, and hamstrings.","Quads, Glutes, Hamstrings, Legs",6.0,"Fitness, Kettlebell Training, Strength Training",168
36,FYR2 Kettlebell Get-Up Reach,The Kettlebell Get-Up Reach is a variation of the Turkish get-up that focuses on shoulder stability and core strength. The exercise involves reaching with the non-kettlebell hand towards the ceiling as you progress through the stages of the get-up.,"Full Body, Shoulders, Abs",6.5,"Fitness, Kettlebell Training",168
37,FYR2 Kettlebell Juggle,"The Kettlebell Juggle is an advanced exercise that improves coordination, grip strength, and explosive power. It involves tossing and catching a kettlebell with one or two hands in various patterns.","Full Body, Forearms, Shoulders",7.0,"Fitness, Kettlebell Sport",168
38,FYR2 Squat-Clean-Alternating-Press Complex,"The FYR2 squat-clean-alternating-press complex is a full-body workout that combines three movements: a squat, a clean, and an alternating overhead press, all performed with kettlebells.","Full Body, Legs, Shoulders",8.5,"Crossfit, Fitness, Kettlebell Training",192
39,Dumbbell V-Sit Cross Jab,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.","Abs, Obliques, Shoulders",5.0,"Boxing, Circuit Training, Martial Arts",168
40,Dumbbell spell caster,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.","Obliques, Shoulders, Full Body",5.5,"Circuit Training, Fitness",168
41,Dumbbell side bend,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.",Obliques,3.5,"Bodybuilding, Strength Training",168
42,Dumbbell crunch,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Abs,3.8,"Bodybuilding, Strength Training",168
43,Dumbbell Fix Dumbbell Sprawl,The Dumbbell Fix dumbbell sprawl is a full-body conditioning exercise. It's a variation of a burpee that involves sprawling your legs back and then standing up while holding dumbbells.,Full Body,9.0,"Crossfit, Fitness, HIIT",168
44,Dumbbell Fix Alternating Renegade Row,"The Alternating Renegade Row is a compound exercise that targets the back, shoulders, and core. It involves maintaining a plank position while alternately rowing a dumbbell with each arm, challenging stability and upper body strength.","Back, Abs, Obliques, Shoulders",6.5,"Crossfit, Fitness, Strength Training",168
45,Dumbbell Fix Dumbbell Mountain Climber,"The Dumbbell Mountain Climber is a dynamic, full-body exercise that combines the benefits of a traditional mountain climber with the added challenge of holding dumbbells. It targets the core, shoulders, arms, and legs.","Full Body, Abs, Shoulders, Legs",9.0,"Circuit Training, Fitness, HIIT",168
46,Dumbbell Fix Dumbbell Russian Twist,"The Dumbbell Fix dumbbell Russian twist is a core exercise that targets the obliques. Seated with your feet off the ground, you hold a dumbbell and twist your torso from side to side.",Obliques,4.0,"Fitness, Strength Training",168
47,Dumbbell Fix Dumbbell Pull-Over,The Dumbbell Pull-Over is a classic resistance exercise that primarily targets the chest (pectoralis major) and back (latissimus dorsi) muscles. It also engages the core and triceps.,"Chest, Lats, Back, Triceps",4.5,"Bodybuilding, Strength Training",168
48,Dumbbell Fix Dumbbell Sit-Up,The Dumbbell Fix dumbbell sit-up is a weighted abdominal exercise. It involves performing a sit-up while holding a dumbbell at your chest or overhead for added resistance.,Abs,4.0,Strength Training,168
49,Dumbbell Fix Dumbbell Front Squat,"The Dumbbell Fix dumbbell front squat is a lower body exercise that targets the quads, glutes, and core. You hold two dumbbells at your shoulders and perform a squat.","Quads, Glutes, Abs, Legs",6.0,"Bodybuilding, Fitness, Strength Training",168
50,Dumbbell Fix Full Man Maker,"The Full Man Maker is a complex, full-body exercise that combines a push-up, renegade rows, a squat, and an overhead press. It is highly effective for building strength, endurance, and cardiovascular fitness.",Full Body,11.0,"Crossfit, Fitness, HIIT",192
51,Dumbbell T-hold,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.","Obliques, Shoulders",3.5,"Pilates, Strength Training, Yoga",168
52,Dumbbell hollow-body floor press,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.,"Abs, Chest, Triceps",5.5,"Fitness, Strength Training",168
53,Dumbbell crusher,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.","Full Body, Legs, Arms",7.0,"Circuit Training, Fitness, HIIT",168
54,Dumbbell Crunch - Gethin Variation,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Abs,3.8,"Bodybuilding, Strength Training",168
55,Single-arm dumbbell crunch,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles.","Abs, Obliques",4.0,"Bodybuilding, Strength Training",168
56,HM Alternating Dumbbell Plank Row,"The Alternating Dumbbell Plank Row is a full-body strength exercise that targets the upper back, core, chest, and arms. It involves holding a plank position while alternating rowing a dumbbell to the chest with each arm.","Back, Abs, Obliques, Shoulders",6.5,"Crossfit, Fitness, Strength Training",168
57,Dumbbell straight-legged hip raise,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.,"Abs, Glutes",4.0,"Pilates, Strength Training",168
58,Seated leg tuck with dumbbell,The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.,Abs,4.0,"Bodybuilding, Strength Training",168
59,Dumbbell V-sit cross jab-,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.","Abs, Obliques, Shoulders",5.0,"Boxing, Circuit Training, Martial Arts",168
60,30 Hanging Leg Raise With Dumbbell,"The Hanging Leg Raise with a dumbbell is an advanced core exercise that increases the difficulty of the traditional hanging leg raise. Holding a dumbbell between the feet adds resistance, further challenging the abdominal muscles and hip flexors.","Abs, Hip Flexors",5.0,"Calisthenics, Crossfit, Gymnastics, Strength Training",192
61,Dumbbell Get-Up Sit-Up,The dumbbell get-up sit-up is a core-strengthening exercise that is a component of the Turkish get-up. It involves sitting up from a lying position while holding a dumbbell overhead.,"Abs, Shoulders",5.0,"Fitness, Kettlebell Training",168
62,Holman Right Side Plank with Left Triceps Press,The Holman right side plank with left triceps press is a challenging exercise that combines a side plank for core stability with a single-arm triceps press to work the arm and shoulder.,"Obliques, Triceps, Shoulders, Arms",5.0,"Circuit Training, Fitness",168
63,Holman Left Side Plank with Right Triceps Press,The Holman left side plank with right triceps press is a core and arm exercise. It involves holding a left side plank while performing a triceps press with your right arm.,"Obliques, Triceps, Shoulders, Arms",5.0,"Circuit Training, Fitness",168
64,Holman Boat with Feet Push-Out and Overhead Press,"The Holman boat with feet push-out and overhead press is a complex core and shoulder exercise. In a boat pose, you simultaneously extend your legs and press a weight overhead.","Abs, Shoulders, Hip Flexors",5.5,"Fitness, Pilates, Yoga",168
65,Holman Hovering Plank Row,"The Hovering Plank Row is a challenging exercise that combines an isometric plank hold with a dynamic rowing motion. It targets the upper back, shoulders, and core while improving stability and control.","Back, Abs, Shoulders",6.0,"Circuit Training, Fitness",168
66,Holman Weighted Seated Killer Abs to Russian Twist,The Holman weighted seated killer abs to Russian twist is a challenging core circuit. It involves a seated abdominal exercise followed immediately by weighted Russian twists.,"Abs, Obliques",5.0,"Circuit Training, Strength Training",168
67,Holman Straight Plank Dumbbell Reach-Under,"The Straight Plank Dumbbell Reach-Under is a core stability exercise that targets the obliques. It involves maintaining a plank position while reaching a dumbbell under your body and back, challenging anti-rotation strength.","Obliques, Abs",4.5,"Fitness, Strength Training",168
68,Holman Straight-Arm Side Plank Overhead Press to Chest Press,"The Holman straight-arm side plank overhead press to chest press is a multi-movement exercise that challenges core stability and shoulder strength. In a side plank, you perform an overhead press followed by a chest press with a dumbbell.","Obliques, Shoulders, Chest",6.0,"Circuit Training, Fitness",168
69,Holman Weighted Burpee to Pike,"The Holman weighted burpee to pike is a full-body conditioning move. It's a burpee performed with weights, followed by a pike-up to work the shoulders and core.","Full Body, Shoulders, Abs",9.5,"Crossfit, Fitness, HIIT",168
70,Holman Straight-Legged Boat Chest Press,"The Holman straight-legged boat chest press is a core and chest exercise. In a straight-legged boat pose, you perform a chest press with dumbbells.","Abs, Chest",5.5,"Fitness, Pilates",168
71,Holman Weighted Burpee to Side Delt Raise,The Holman weighted burpee to side delt raise is a compound exercise that combines a burpee with a side deltoid raise to work the entire body and shoulders.,"Full Body, Shoulders, Deltoids",9.5,"Fitness, HIIT",168
72,Holman Heavy Double Pike,The Holman heavy double pike is an advanced core exercise. It typically involves using a piece of equipment like a suspension trainer or slideboard to pike your hips up while holding heavy weights.,Abs,5.0,Calisthenics,192
73,Holman Heavy Double Split Pike,"The Heavy Double Split Pike is an advanced abdominal exercise that targets the lower and upper abs. It involves simultaneously lifting the legs and torso from a supine position, creating a V-shape with the body.",Abs,5.0,Calisthenics,192
74,MetaBurn Alternating Dumbbell Sit-Through,"The Alternating Dumbbell Sit-Through is a dynamic, full-body exercise that improves strength, mobility, and coordination. It involves transitioning from a quadruped position to a seated position while holding a dumbbell, engaging the core, shoulders, and legs.","Full Body, Abs, Obliques, Shoulders, Legs",7.0,"Animal Flow, Circuit Training, Fitness",168
75,MetaBurn Alternating Plank Row With Dumbbell Pull-Through,"The MetaBurn alternating plank row with dumbbell pull-through is a challenging core and back exercise. In a plank, you perform a row and then pull a dumbbell from one side to the other.","Back, Abs, Obliques",6.8,"Circuit Training, Fitness",168
76,MetaBurn Alternating Plank Row With Push-Up,"The MetaBurn alternating plank row with push-up is a compound exercise that targets the back, chest, and core. It combines a plank row with a push-up.","Back, Chest, Abs, Triceps",7.5,"Crossfit, Fitness, HIIT",168
77,MetaBurn Dumbbell Russian Twist,"The MetaBurn dumbbell Russian twist is a classic oblique exercise. Seated with feet lifted, you twist your torso side to side while holding a dumbbell.",Obliques,4.0,Strength Training,168
78,MetaBurn Dumbbell Toe-Touch,"The MetaBurn dumbbell toe-touch is a core exercise that targets the upper abs. Lying on your back, you hold a dumbbell and reach up to touch your toes.",Abs,4.0,Strength Training,168
79,MetaBurn Plank To Alternating Row,"The Plank to Alternating Row is a strength exercise that combines the stability of a plank with the movement of a row. It targets the back, shoulders, and core, improving core strength and stability.","Back, Abs, Obliques, Shoulders",6.5,"Circuit Training, Fitness",168
80,Standing dumbbell knee crunch-,"The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally, the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout.","Abs, Deltoids, Shoulders",5.0,"Fitness, Strength Training",168
81,MetaBurn Plank With Dumbbell Rotation,"The Plank with Dumbbell Rotation is a core exercise that targets the obliques and improves rotational strength and stability. It involves maintaining a plank position while lifting a dumbbell towards the ceiling, rotating the torso.","Obliques, Shoulders",5.0,"Fitness, Strength Training",168
82,FYR2 Dumbbell Crab Reach,"The FYR2 dumbbell crab reach is a dynamic, full-body exercise. From a crab walk position, you reach one arm up and over your body while holding a dumbbell.","Full Body, Shoulders, Glutes, Abs",6.5,"Circuit Training, Fitness, Mobility",168
83,FYR2 Dumbbell Man-Maker,"The FYR2 dumbbell man-maker is a challenging, multi-step exercise. It typically includes a push-up, renegade rows, a squat clean, and a thruster, all performed with dumbbells.",Full Body,11.5,"Crossfit, Fitness, HIIT",192
84,FYR2 Dumbbell Sit-Up Reach,The FYR2 dumbbell sit-up reach is a core exercise. It involves performing a sit-up while holding a dumbbell and reaching it towards your feet.,Abs,4.2,Strength Training,168
85,FYR2 Loaded Beast Sprawl,"The Loaded Beast Sprawl is a dynamic, full-body exercise that improves strength, explosiveness, and mobility. It involves transitioning from a ""beast"" position (quadruped with knees slightly off the floor) to an extended, plank-like position.","Full Body, Shoulders, Legs, Abs",7.5,"Animal Flow, Calisthenics, Fitness",168
86,FYR2 Loaded to Unloaded Beast,"The FYR2 loaded to unloaded beast is an exercise that transitions between a ""loaded beast"" position (hips back towards heels) and an ""unloaded beast"" position (shoulders forward over wrists).","Full Body, Shoulders, Legs, Abs",6.0,"Animal Flow, Fitness, Mobility",144
87,Lying Leg Pullover,The Lying Leg Pullover is a variation of the pullover performed with the legs raised. This places a greater emphasis on core engagement and torso stability throughout the movement.,"Chest, Lats, Abs, Back",5.0,"Bodybuilding, Strength Training",168
88,Landmine twist,"The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges.",Obliques,4.5,"Fitness, Golf, Rotational Sports, Strength Training, Tennis",192
89,Suspended ab fall-out,"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition.","Abs, Shoulders, Lats",5.5,"Calisthenics, Gymnastics, Suspension Training",168
90,Decline reverse crunch,"The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",Abs,3.5,"Bodybuilding, Strength Training",144
91,Plate Twist,"The plate twist is a core exercise that targets the obliques. Seated on the floor, you hold a weight plate and twist your torso from side to side.",Obliques,4.0,Strength Training,168
92,Weighted Crunches,"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",Abs,3.8,"Bodybuilding, Strength Training",168
93,Ab Roller,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.","Abs, Lats, Shoulders",5.0,"Calisthenics, Crossfit, Strength Training",168
94,Otis-Up,"The Otis-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominus or “six-pack” muscles, but also involves the obliques and deep core muscles. It is normally performed on a decline bench holding a weight plate, but can also be performed with a dumbbell, kettlebell, or other weight.","Abs, Shoulders",4.8,Strength Training,168
95,Captain's chair knee raise,"The captain's chair knee raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.","Abs, Hip Flexors",4.0,"Bodybuilding, Strength Training",168
96,Sledgehammer swing,The sledgehammer swing is an exercise working the abdominals and numerous other muscles. The sledgehammer is slammed from overhead onto a tire which absorbs the impact and causes the hammer to bounce back up. It can be performed for time or reps as part of a functional fitness or athleticism-focused workout.,"Full Body, Abs, Obliques, Shoulders",10.0,"Crossfit, Fitness, HIIT, Strength Training",192
97,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.","Abs, Shoulders, Chest",5.0,"Bodybuilding, Strength Training",192
98,Pallof press,"The Pallof press is an isometric exercise that trains core stability. It involves resisting rotation from a cable or band, developing what is sometimes called ""anti-rotation"" core strength. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements. It can be trained in timed holds or for reps by pressing the cable or band away from the body.","Obliques, Abs",3.5,"Fitness, Rehabilitation, Strength Training",144
99,Weighted Sit-Ups - With Bands,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",Abs,4.5,Strength Training,168
100,Suitcase crunch,"The suitcase crunch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a V-up, but the lower back stays flat against the ground. It can be performed for time or reps in the ab-focused portion of any workout.",Abs,3.5,"Calisthenics, Strength Training",120
