Food Item,Food Group,Macronutrient Focus,Is Vitamin-Rich,Is Mineral-Rich,Is Vegan,Is Vegetarian,Is Gluten-Free,Is Dairy-Free,Is Nut-Free (General),Is Halal,Is Kosher,Processing Level,Culinary Usage,Health Impact,Contains Gluten,Contains Milk,Contains Eggs,Contains Fish,Contains Shellfish,Contains Peanuts,Contains Tree Nuts,Contains Soybeans,Contains Sesame,Contains Mustard,Contains Celery,Contains Sulphites
"Soup, bouillabaisse",Composite Meal; Proteins; Vegetables,Protein-rich,Y,Y,N,N,N,Y,Y,Y,N,Processed,Soup; Meal,Healthy,N,N,N,Y,Y,N,N,N,N,N,Variable,Variable
Crab salad,Proteins; Condiments; Oils and fats; Vegetables,Protein-rich; Fat-rich,Y,Y,N,N,Variable,Y,Y,Y,N,Processed,Salad; Sandwich Filling,Moderate,N,Variable,Y,N,Y,N,N,Variable,N,Variable,Variable,Variable
Lobster salad,Proteins; Condiments; Oils and fats; Vegetables,Protein-rich; Fat-rich,Y,Y,N,N,Variable,Y,Y,Y,N,Processed,Salad; Sandwich Filling,Moderate,N,Variable,Y,N,Y,N,N,Variable,N,Variable,Variable,Variable
"Shrimp chow mein or chop suey, no noodles",Proteins; Vegetables; Condiments,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,Y,Variable,N,Variable,Variable
Shrimp salad,Proteins; Condiments; Oils and fats; Vegetables,Protein-rich; Fat-rich,Y,Y,N,N,Variable,Y,Y,Y,N,Processed,Salad; Sandwich Filling,Moderate,N,Variable,Y,N,Y,N,N,Variable,N,Variable,Variable,Variable
Seafood salad,Proteins; Condiments; Oils and fats; Vegetables,Protein-rich; Fat-rich,Y,Y,N,N,Variable,Y,Y,Y,N,Processed,Salad; Sandwich Filling,Moderate,N,Variable,Y,Y,Y,N,N,Variable,N,Variable,Variable,Variable
"Shrimp garden salad, shrimp, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",Composite Meal; Proteins; Vegetables,Protein-rich,Y,Y,N,N,N,Y,Y,Y,N,Minimally Processed,Salad; Meal,Healthy,N,N,Y,N,Y,N,N,N,N,N,N,N
"Shrimp garden salad, shrimp, lettuce, eggs, vegetables excluding tomato and carrots, no dressing",Composite Meal; Proteins; Vegetables,Protein-rich,Y,Y,N,N,N,Y,Y,Y,N,Minimally Processed,Salad; Meal,Healthy,N,N,Y,N,Y,N,N,N,N,N,N,N
"Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",Composite Meal; Proteins; Vegetables,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Salad; Meal,Healthy,N,N,N,Y,Y,N,N,N,N,N,N,N
"Seafood garden salad with seafood, lettuce, tomato and/or carrots, other vegetables, no dressing",Composite Meal; Proteins; Vegetables,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Salad; Meal,Healthy,N,N,N,Y,Y,N,N,N,N,N,N,N
"Seafood garden salad with seafood, lettuce, eggs, vegetables excluding tomato and carrots, no dressing",Composite Meal; Proteins; Vegetables,Protein-rich,Y,Y,N,N,N,Y,Y,Y,N,Minimally Processed,Salad; Meal,Healthy,N,N,Y,Y,Y,N,N,N,N,N,N,N
"Seafood garden salad with seafood, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",Composite Meal; Proteins; Vegetables,Protein-rich,Y,Y,N,N,N,Y,Y,Y,N,Minimally Processed,Salad; Meal,Healthy,N,N,Y,Y,Y,N,N,N,N,N,N,N
Oysters Rockefeller,Proteins; Vegetables; Dairy; Oils and fats; Grains,Protein-rich; Fat-rich,Y,Y,N,N,N,N,Y,Y,N,Processed,Appetizer,Unhealthy,Y,Y,N,N,Y,N,N,N,N,N,N,N
"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",Proteins; Vegetables,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",Proteins; Vegetables,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",Proteins; Vegetables; Condiments,Protein-rich,Y,Y,N,N,N,Y,Y,Y,N,Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,Y,Variable,N,N,Variable
"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",Proteins; Vegetables; Condiments,Protein-rich,Y,Y,N,N,N,Y,Y,Y,N,Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,Y,Variable,N,N,Variable
"Shrimp shish kabob with vegetables, excluding potatoes",Proteins; Vegetables,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Minimally Processed,Meal,Healthy,N,N,N,N,Y,N,N,N,N,N,Variable,N
"Shrimp creole, no rice",Proteins; Vegetables; Condiments,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,N,N,N,Y,N
Kung Pao shrimp,Proteins; Vegetables; Nuts; Condiments; Spices,Protein-rich; Fat-rich,Y,Y,N,N,N,Y,N,Y,N,Processed,Meal Component,Moderate,Variable,N,N,N,Y,Y,N,Y,Variable,N,N,Variable
"Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",Proteins; Vegetables; Condiments,Protein-rich,Y,Y,N,N,N,Y,Y,Y,N,Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,Y,Variable,N,N,Variable
"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",Proteins; Vegetables; Condiments,Protein-rich,Y,Y,N,N,N,Y,Y,Y,N,Processed,Meal Component,Healthy,N,N,N,N,Y,N,N,Y,Variable,N,N,Variable
"Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce",Proteins; Vegetables; Condiments,Protein-rich,Y,Y,N,N,N,N,Y,Y,N,Processed,Meal Component,Healthy,Y,Variable,N,N,Y,N,N,Variable,N,N,N,Variable
"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce",Proteins; Vegetables; Condiments,Protein-rich,Y,Y,N,N,N,N,Y,Y,N,Processed,Meal Component,Moderate,Y,Variable,N,N,Y,N,N,Variable,N,N,N,Variable
"Lobster with sauce, Puerto Rican style",Proteins; Condiments,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Processed,Meal,Moderate,N,Variable,N,N,Y,N,N,N,N,N,Variable,Variable
"Octopus salad, Puerto Rican style",Proteins; Vegetables; Condiments,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Processed,Salad; Appetizer,Healthy,N,N,N,N,Y,N,N,N,N,N,Variable,N
Crab cake sandwich,Composite Meal; Grains; Proteins; Oils and fats,Protein-rich; Carbohydrate-rich; Fat-rich,N,Y,N,N,N,N,Y,Y,N,Highly Processed,Meal,Unhealthy,Y,Variable,Y,N,Y,N,N,Variable,N,Variable,Variable,Variable
Fried seafood sandwich,Composite Meal; Grains; Proteins; Oils and fats,Protein-rich; Carbohydrate-rich; Fat-rich,N,Y,N,N,N,N,Y,Y,N,Highly Processed,Meal,Unhealthy,Y,Variable,Variable,Y,Y,N,N,Variable,N,Variable,Variable,Variable
Seafood salad sandwich,Composite Meal; Grains; Proteins; Condiments; Oils and fats,Protein-rich; Carbohydrate-rich; Fat-rich,N,Y,N,N,N,N,Y,Y,N,Highly Processed,Meal; Snack,Moderate,Y,Variable,Y,Y,Y,N,N,Variable,N,Variable,Variable,Variable
"Shrimp and vegetables in sauce with noodles, diet frozen meal",Composite Meal; Proteins; Grains; Vegetables; Condiments,Protein-rich; Carbohydrate-rich,Y,Y,N,N,N,Y,Y,Y,N,Highly Processed,Meal,Healthy,Y,N,Y,N,Y,N,N,Variable,N,N,N,Variable
"Soup, Manhattan clam chowder",Composite Meal; Proteins; Vegetables,Protein-rich; Carbohydrate-rich,Y,Y,N,N,Y,Y,Y,Y,N,Processed,Soup,Healthy,N,N,N,N,Y,N,N,N,N,N,Y,N
"Soup, New England clam chowder",Composite Meal; Proteins; Dairy; Vegetables; Oils and fats,Fat-rich; Carbohydrate-rich,Y,Y,N,N,N,N,Y,Y,N,Processed,Soup,Unhealthy,Y,Y,N,N,Y,N,N,N,N,N,N,N
"Soup, bisque",Composite Meal; Proteins; Dairy; Beverages,Fat-rich,Y,Y,N,N,N,N,N,Y,N,Processed,Soup,Unhealthy,Y,Y,N,N,Y,N,N,N,N,N,N,Y
Lobster gumbo,Composite Meal; Proteins; Grains; Vegetables,Balanced,Y,Y,N,N,N,Y,Y,Y,N,Processed,Soup; Meal,Moderate,Y,N,N,N,Y,N,N,N,N,N,Y,N
Shrimp gumbo,Composite Meal; Proteins; Grains; Vegetables,Balanced,Y,Y,Variable,N,N,Y,Variable,Y,N,Processed,Soup; Meal,Variable,Y,N,N,N,Y,N,N,Variable,N,Variable,N,N
"Soup, fish or shrimp",Composite Meal; Proteins; Vegetables,Protein-rich,Y,Y,N,N,Y,Y,Y,Y,N,Processed,Soup,Healthy,N,N,N,Y,Y,N,N,N,N,N,Variable,N
Oyster sauce,Condiments,Carbohydrate-rich,N,N,N,N,N,N,Y,Y,N,Processed,Sauce; Seasoning,Moderate,Y,N,N,N,Y,N,N,Y,N,N,N,Variable
Shrimp egg foo yung,Composite Meal; Proteins; Vegetables; Condiments,Protein-rich,Y,Y,N,N,N,Y,Y,Y,N,Processed,Meal Component,Healthy,Variable,N,Y,N,Y,N,N,Variable,N,N,N,Variable
Shrimp chips,Grains; Proteins; Oils and fats,Carbohydrate-rich; Fat-rich,N,N,Y,Y,N,N,Y,Y,N,Highly Processed,Snack Chip,Unhealthy,N,N,N,N,Y,N,N,N,N,N,N,N
"Fajita, shrimp",Composite Meal; Grains; Proteins; Vegetables; Condiments,Protein-rich; Carbohydrate-rich,Y,Y,N,N,N,N,Y,Y,N,Processed,Meal,Healthy,Y,Variable,N,N,Y,N,N,N,N,N,N,Variable
"Egg roll, with shrimp",Composite Meal; Grains; Proteins; Vegetables; Oils and fats,Carbohydrate-rich; Fat-rich; Protein-rich,Y,N,Y,Y,N,N,Y,Y,N,Highly Processed,Appetizer,Unhealthy,Y,N,Variable,N,Y,N,N,Variable,Variable,Variable,N,N
"Puffs, fried, crab meat and cream cheese filled",Composite Meal; Grains; Dairy; Proteins; Oils and fats,Fat-rich; Carbohydrate-rich,N,Y,Y,Y,N,N,N,Y,N,Highly Processed,Appetizer,Unhealthy,Y,Y,Variable,Y,Y,N,N,N,N,N,N,N
"Turnover, seafood",Composite Meal; Grains; Proteins; Dairy; Vegetables; Oils and fats,Protein-rich; Carbohydrate-rich; Fat-rich,Y,Y,N,N,N,N,Y,Y,N,Highly Processed,Snack; Light Meal,Moderate,Y,Y,N,Y,Y,N,N,Variable,N,N,N,Variable
Dressing with oysters,Composite Meal; Grains; Proteins; Vegetables; Oils and fats; Condiments,Carbohydrate-rich,Y,Y,N,N,N,N,Y,Y,N,Processed,Side Dish,Moderate,Y,Variable,Variable,N,Y,N,N,Variable,N,N,Y,Variable
"Stuffed shells, with fish and/or shellfish, with tomato sauce",Composite Meal; Grains; Proteins; Dairy; Vegetables,Protein-rich; Carbohydrate-rich,Y,Y,N,N,N,N,Y,Y,N,Processed,Pasta Dish; Meal,Moderate,Y,Y,Y,Y,Y,N,N,N,N,N,Variable,Variable
"Lo mein, with shrimp",Composite Meal; Grains; Proteins; Vegetables; Condiments,Protein-rich; Carbohydrate-rich,Y,Y,N,N,N,N,Y,Y,N,Processed,Meal,Healthy,Y,N,Y,N,Y,N,N,Y,Variable,N,Variable,Variable
Pad Thai with seafood,Composite Meal; Grains; Proteins; Vegetables; Nuts; Condiments,Protein-rich; Carbohydrate-rich,Y,Y,N,N,N,N,Y,Y,N,Processed,Meal,Healthy,N,N,Y,N,Y,Y,N,Variable,N,N,N,Variable
"Pasta with tomato-based sauce and seafood, restaurant",Composite Meal; Grains; Proteins; Vegetables,Protein-rich; Carbohydrate-rich,Y,Y,N,N,N,N,Y,Y,N,Processed,Meal,Healthy,Y,N,Variable,Y,Y,N,N,N,N,N,N,Variable
