Alanine (G),"Alcohol, ethyl (G)",Arginine (G),Ash (G),Aspartic acid (G),Beta-sitosterol (MG),Betaine (MG),Caffeine (MG),"Calcium, Ca (MG)",Campesterol (MG),"Carbohydrate, by difference (G)","Carotene, alpha (UG)","Carotene, beta (UG)",Cholesterol (MG),"Choline, total (MG)","Copper, Cu (MG)","Cryptoxanthin, beta (UG)",Cystine (G),Energy (KCAL),"Fatty acids, total monounsaturated (G)","Fatty acids, total polyunsaturated (G)","Fatty acids, total saturated (G)","Fatty acids, total trans (G)","Fatty acids, total trans-monoenoic (G)","Fatty acids, total trans-polyenoic (G)","Fiber, total dietary (G)","Fluoride, F (UG)","Folate, DFE (UG)","Folate, food (UG)","Folate, total (UG)",Folic acid (UG),Fructose (G),Galactose (G),Glucose (G),Glutamic acid (G),Glycine (G),Histidine (G),Hydroxyproline (G),"Iron, Fe (MG)",Isoleucine (G),Lactose (G),Leucine (G),Lutein + zeaxanthin (UG),Lycopene (UG),Lysine (G),MUFA 14:1 (G),MUFA 15:1 (G),MUFA 16:1 (G),MUFA 17:1 (G),MUFA 18:1 (G),MUFA 20:1 (G),MUFA 22:1 (G),MUFA 24:1 (G),"Magnesium, Mg (MG)",Maltose (G),"Manganese, Mn (MG)",Methionine (G),Niacin (MG),PUFA 18:2 (G),PUFA 18:3 (G),PUFA 18:4 (G),PUFA 20:2 (G),PUFA 20:3 (G),PUFA 20:4 (G),PUFA 20:5 (G),PUFA 21:5 (G),PUFA 22:4 (G),PUFA 22:5 (G),PUFA 22:6 (G),PUFA 2:4 (G),Pantothenic acid (MG),Phenylalanine (G),"Phosphorus, P (MG)",Phytosterols (MG),"Potassium, K (MG)",Proline (G),Protein (G),Retinol (UG),Riboflavin (MG),SFA 10:0 (G),SFA 12:0 (G),SFA 13:0 (G),SFA 14:0 (G),SFA 15:0 (G),SFA 16:0 (G),SFA 17:0 (G),SFA 18:0 (G),SFA 20:0 (G),SFA 22:0 (G),SFA 24:0 (G),SFA 4:0 (G),SFA 6:0 (G),SFA 8:0 (G),"Selenium, Se (UG)",Serine (G),"Sodium, Na (MG)",Starch (G),Stigmasterol (MG),Sucrose (G),TFA 16:1 t (G),TFA 18:1 t (G),TFA 22:1 t (G),Theobromine (MG),Thiamin (MG),Threonine (G),Total Sugars (G),Total lipid (fat) (G),Tryptophan (G),Tyrosine (G),Valine (G),"Vitamin A, RAE (UG)",Vitamin B-12 (UG),Vitamin B-6 (MG),"Vitamin C, total ascorbic acid (MG)",Vitamin D (D2 + D3) (UG),Water (G),"Zinc, Zn (MG)",allergens,category,diets,min_age_months,name,weight (G),Vitamin K (UG),Vitamin E (MG),TFA 18:2 t (G),alkalinity Ph (0-14)
,,,,,,,,488.0,,55.8,,14.0,,,0.33,,,377.0,4.9,6.8,1.7,,,,28.5,,11.0,,,,,,,,,,,24.0,,,,,,,,,,,,,,,189.0,,2.8,,6.2,,,,,,,,,,,,,0.7,,315.0,,1172.0,,12.8,,0.38,,,,,,,,,,,,,,,7.5,,35.0,,,,,,,,0.22,,4.1,13.6,,,,1.0,,0.4,0.2,,9.9,3.3,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Garam Masala,100.0,16.8,1.8,,6.5
,,,,,29.0,,,243.0,1.0,8.41,,2420.0,,10.9,0.24,,,44.0,0.063,0.316,0.187,,,,6.8,,105.0,,,,,,,,,,,5.08,,,,1100.0,,,,,,,0.063,,,,80.0,,1.12,,1.71,0.219,0.097,,,,,,,,,,,0.14,,70.0,32.0,458.0,,3.75,,0.18,,,,0.003,0.001,0.146,0.001,0.027,0.001,0.001,,,,,0.9,,30.0,,1.0,,,,,,0.08,,0.2,0.73,,,,202.0,,0.16,31.8,,85.58,0.6,,Spices and Herbs,"Vegan,Vegetarian",6,Mint (Fresh and Dried),100.0,494.3,0.95,,6.5
,,,100.0,,,,,24.0,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,1.0,,0.01,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,38758.0,,,,,,,,,,,,,,,,,,,,,0.01,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Rock Salt,100.0,,,,7.0
,,,100.0,,,,,24.0,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,1.0,,0.01,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,38758.0,,,,,,,,,,,,,,,,,,,,,0.01,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Sea Salt,100.0,,,,7.0
,,,,,,,,1090.0,,55.8,,,,,0.19,,,339.0,4.5,5.3,1.3,,,,36.2,,16.0,,,,,,,,,,,31.7,,,,,,,,,,,,,,,173.0,,0.6,,0.4,,,,,,,,,,,,,0.1,,194.0,,1300.0,,10.4,,0.1,,,,,,,,,,,,,,,4.5,,73.0,,,,,,,,0.1,,4.5,11.7,,,,,,0.2,2.4,,9.5,1.8,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Sumac,100.0,3.3,0.9,0.002,3.5
,,,,,,,,,,,,,109.0,,,,,902.0,41.68,3.2,50.13,4.26,,,,,,,,,,,,,,,,0.02,,,,,,,,,3.36,0.45,37.52,0.36,,,,,,,,2.86,0.33,,,0.02,,,,,0.03,0.02,,,,,,,,,,,0.08,0.06,,3.43,0.32,26.43,1.06,18.33,0.31,0.09,,0.02,0.04,0.03,0.1,,,,,,0.22,3.91,,,,,,100.0,,,,,,,,0.2,,,,Fats and Oils,"Keto,Paleo",6,Animal Fat (Charbi/Liyya),100.0,1.4,2.7,0.06,7.0
0.116,,0.322,1.8,0.597,14.0,0.4,,43.0,2.0,63.88,6.0,48.0,,7.5,0.281,,0.024,240.0,0.091,0.149,0.062,,,,7.1,2.3,4.0,4.0,4.0,,5.65,0.26,4.9,0.395,0.106,0.052,,0.93,0.076,,0.11,24.0,,0.142,,,0.005,,0.086,,,,41.0,0.28,0.179,0.034,1.882,0.134,0.015,,,,,,,,,,,0.422,0.074,69.0,17.0,732.0,0.076,2.18,,0.186,,,,0.002,,0.057,,0.003,,,,,,,0.3,0.089,2.0,0.01,1.0,0.03,,,,,0.051,0.06,38.13,0.38,0.021,0.043,0.096,38.0,,0.205,0.6,,30.92,0.29,,Dried fruits,"Gluten-Free,Halal,Kosher,Vegan,Vegetarian",6,Dried Plums (Aloo Bukhara),100.0,59.5,0.43,,4.0
,,,,,,,,4.0,,,,,256.0,0.2,0.002,,,899.0,28.7,3.6,61.9,4.15,4.15,,,,,,,,,,,,,,,0.03,,,,,,,0.68,0.07,2.81,0.19,24.64,0.21,,,,,0.001,,0.001,2.5,1.06,,0.02,0.01,,,,,,,,0.002,,3.0,,5.0,,0.28,859.0,0.005,2.33,2.44,0.03,9.94,0.22,29.74,0.19,10.45,0.17,0.06,0.03,3.31,2.05,1.12,0.7,,2.0,,,,0.1,4.05,,,0.001,,,99.8,,,,859.0,0.04,0.001,,2.8,0.16,0.01,Milk,Butter and animal fats,"Gluten-Free,Keto,Paleo,Vegetarian",6,Ghee (Clarified Butter),100.0,8.6,2.8,0.232,6.8
0.076,,0.06,0.85,0.17,,,,18.0,,5.36,20.0,534.0,,12.8,0.129,,0.007,32.0,0.024,0.187,0.032,,,,3.0,2.8,23.0,23.0,23.0,,2.35,,2.16,0.141,0.046,0.023,,0.41,0.042,,0.063,503.0,,0.052,,,0.002,,0.022,,,,24.0,,0.222,0.012,1.246,0.16,0.027,,,,,,,,,,,0.323,0.046,33.0,,322.0,0.04,1.4,,0.091,,,,0.001,,0.026,,0.005,,,,,,,0.5,0.067,9.0,,,,,,,,0.091,0.049,4.15,0.3,0.012,0.029,0.052,54.0,,0.198,80.8,,91.46,0.26,,Vegetables and Vegetable Products,"Gluten-Free,Halal,Kosher,Vegan,Vegetarian",6,Green Chilies,100.0,14.4,0.69,,5.5
0.932,,2.072,2.9,1.74,165.0,0.8,,105.0,15.0,27.17,,12.0,,28.5,1.3,,0.248,557.0,23.2,13.6,5.6,,,,10.3,3.4,51.0,51.0,51.0,,0.33,,0.25,4.217,0.783,0.477,,3.92,0.742,,1.294,1200.0,,0.87,,,0.1,,23.1,,,,109.0,0.08,1.2,0.288,1.3,13.0,0.42,,,,,,,,,,,0.52,0.701,490.0,229.0,1025.0,0.72,20.61,,0.16,,0.02,,0.06,,5.3,,0.22,0.01,0.01,,,,,7.3,0.787,1.0,1.4,33.0,5.45,,,,,0.87,0.643,7.66,44.44,0.203,0.407,0.985,7.0,,1.7,5.6,,4.37,2.2,"Nuts,Nuts (pistachio nuts)",Nuts and seeds,"Gluten-Free,Halal,Kosher,Vegan,Vegetarian",12,Pistachios,100.0,13.2,2.3,,6.2
,,,0.56,,,,,10.0,,18.7,,6.0,,7.6,0.158,,,83.0,0.093,0.088,0.103,,,,4.0,,38.0,38.0,38.0,,,,,,,,,0.3,,,,,,,,,,,0.093,,,,12.0,,0.119,,0.297,0.088,,,,,,,,,,,,0.377,,36.0,,236.0,,1.67,,0.053,,,,0.007,,0.07,,0.026,,,,,,,0.5,,3.0,,,,,,,,0.067,,13.67,1.17,,,,,,0.075,10.2,,77.93,0.35,,Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Pomegranate Seeds,100.0,16.4,0.6,,3.2
,,,0.9,,,,,59.0,,14.15,,1000.0,,5.6,0.039,,,61.0,0.019,0.165,0.04,,,,1.8,,83.0,83.0,83.0,,,,,,,,,2.1,,,,1223.0,,,,,,,0.019,,,,28.0,,0.481,,0.4,0.065,0.1,,,,,,,,,,,0.42,,35.0,,180.0,,1.5,,0.03,,,,,,0.035,,0.005,,,,,,,1.0,,20.0,,,,,,,,0.06,,3.9,0.3,,,,83.0,,0.23,12.0,,83.25,0.12,,Vegetables and Vegetable Products,"Gluten-Free,Vegan,Vegetarian",6,Leek / Scallions (Gandana),100.0,47.0,1.09,,6.0
,,,,,,,,68.0,,74.8,,,,,,,,326.0,,,,,,,7.4,,20.0,,,,,,,,,,,2.7,,,,,,,,,,,,,,,36.0,,,,0.3,,,,,,,,,,,,,,,70.0,,580.0,,3.6,,0.1,,,,,,,,,,,,,,,,,5.0,,,,,,,,0.1,,68.0,0.6,,,,,,0.1,14.0,,16.0,0.3,,Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Barberries (Zirk),100.0,,0.93,,3.3
,,,2.2,,,,,177.0,,2.65,,3142.0,,16.1,0.385,,,23.0,0.051,0.384,0.064,,,,1.6,,68.0,68.0,68.0,,,,,,,,,3.17,,,,5650.0,,,,,,,0.051,,,,64.0,,1.148,,0.902,0.089,0.295,,,,,,,,,,,0.209,,56.0,7.0,295.0,,3.15,,0.076,,,,,,0.052,,0.01,,,,,,,0.3,,4.0,0.1,2.0,0.2,,,,,0.034,,0.3,0.64,,,,264.0,,0.134,18.0,,92.06,0.8,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Basil (Rayhon),100.0,414.8,0.8,,6.5
,,,5.02,,,,,931.0,,44.28,,6.0,,13.6,0.867,,,375.0,14.04,2.81,1.535,,,,10.5,,10.0,10.0,10.0,,,,,,,,,66.36,,,,270.0,,,,,,,14.04,,,,366.0,,3.333,,4.579,2.81,,,,,,,,,,,,0.25,,499.0,119.0,1788.0,,17.81,,0.327,,,,,,1.309,,0.226,,,,,,,5.0,,168.0,,13.0,0.01,,,,,0.628,,2.25,22.27,,,,64.0,,0.435,7.7,,8.06,4.8,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Cumin (Zira),100.0,5.4,3.33,0.002,6.0
0.085,,0.084,0.64,0.19,,,,72.0,,7.34,,718.0,,10.9,0.039,,0.016,32.0,0.013,0.063,0.044,,,,2.6,,64.0,64.0,64.0,,,,,0.165,0.065,0.034,,1.25,0.061,,0.1,182.0,,0.1,,,0.002,,0.009,,,,20.0,,0.134,0.024,0.2,0.028,0.028,,,,0.004,,,,,,,0.116,0.05,37.0,,276.0,0.046,1.83,,0.07,,,,0.001,,0.038,,0.004,,,,,,,0.6,0.063,16.0,,,,,,,,0.046,0.05,2.3,0.19,0.015,0.034,0.081,60.0,,0.04,18.8,,89.81,0.04,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Green Onions / Scallions,100.0,207.0,0.85,,6.0
,,,,,,,,,,,,,95.0,,,,,882.0,40.54,4.14,47.37,1.15,1.07,0.08,,,,,,,,,,,,,,,,,,,,,0.1,0.04,2.37,0.15,36.91,0.97,0.01,0.01,,,,,,3.23,0.65,,0.06,0.08,0.11,,,,0.01,,,,,,,,,,,,0.02,0.04,0.01,2.45,0.28,25.12,0.83,18.59,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,0.99,,,,,,99.8,,,,,,,,,0.1,,,Butter and animal fats,,6,Tail-fat (Dumba),100.0,,,0.08,7.0
0.198,,0.207,2.84,0.767,,5.1,,46.0,,18.55,,5500.0,,37.1,0.203,,0.038,82.0,0.081,0.245,0.071,,,,3.9,,44.0,44.0,44.0,,2.76,,2.72,1.896,0.174,0.106,,2.73,0.147,,0.222,1821.0,26979.0,0.229,,,0.005,,0.076,,,,46.0,,0.201,0.048,3.518,0.225,0.019,,,,,,,,,,,0.729,0.165,102.0,,1014.0,0.198,4.31,,0.091,,,,0.001,,0.063,,0.006,,,,,,,3.2,0.198,43.0,,,0.64,,,,,0.106,0.138,11.66,0.5,0.06,0.116,0.187,459.0,,0.288,21.9,,75.31,0.44,,Fruits and Fruit Juices,"Gluten-Free,Vegan,Vegetarian",6,Tomatoes / Tomato Paste,100.0,4.3,2.79,,4.2
,,,6.0,,29.0,,,646.0,5.0,50.02,,190.0,,29.8,0.91,,,337.0,9.24,3.19,1.071,,,,14.6,,10.0,10.0,10.0,,,,,,,,,36.96,,,,,,,,,,,9.24,,,,170.0,,2.3,,3.06,3.19,,,,,,,,,,,,0.797,,440.0,34.0,1441.0,,17.6,,0.3,,,,,,0.811,,0.176,,,,,,,5.0,,16.0,,,,,,,,0.34,,,15.9,,,,16.0,,0.65,21.0,,9.38,5.3,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Anise,100.0,5.9,3.33,0.002,6.5
,,,5.31,,,,,1000.0,,54.7,,,,50.0,0.6,,,450.0,8.0,12.0,2.0,,,,40.0,,10.0,10.0,10.0,,,,,,,,,18.5,,,,,,,,,,,8.0,,,,300.0,,2.0,,5.0,11.0,1.0,,,,,,,,,,,0.5,,450.0,,900.0,,19.99,,0.3,,,,,,1.0,,1.0,,,,,,,5.0,,150.0,,,,,,,,0.4,,2.25,22.0,,,,,,0.4,10.0,,7.0,6.0,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Black Cumin (Siyah Dona),100.0,5.0,1.0,0.002,6.0
,,,5.82,,,,26.3,310.0,,56.63,,2525.0,,61.3,0.373,1665.0,,318.0,2.503,8.356,3.26,,,,30.5,,106.0,,106.0,,,,,,,,,7.8,,,,651.0,1028.0,,,,0.22,,2.283,,,,152.0,,1.161,,8.701,7.971,0.385,,,,,,,,,,,2.52,,293.0,,2014.0,,12.01,,0.919,,,,0.061,,2.186,,0.913,,,,,,,19.3,,30.0,,,,,,,,0.328,,10.34,17.27,,,,2081.0,,2.45,76.4,,8.05,2.48,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Cayenne/Red Pepper,100.0,80.3,29.83,0.002,5.0
,,,11.13,,,,,1784.0,,55.17,,4630.0,,,0.767,,,299.0,1.39,10.42,0.94,,,,21.1,,194.0,,194.0,,,,,,,,,16.33,,,,5770.0,,,,,0.06,,1.33,,,,256.0,,1.3,,2.8,9.21,1.21,,,,,,,,,,,0.589,,374.0,,3100.0,,19.96,,0.29,,,,0.02,,0.71,,0.19,,,,,,,10.0,,20.0,,,,,,,,0.2,,,14.47,,,,386.0,,0.28,85.0,,9.32,4.19,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Dill (fresh and dried),100.0,264.4,3.32,,6.5
,,,3.28,,,,,177.0,,58.35,,,,28.3,1.11,,,323.0,0.82,3.23,1.26,,,,24.6,,57.0,,57.0,,,,,,,,,33.53,,,,,,,,,0.01,,0.78,,,,191.0,,1.22,,1.64,2.98,0.25,,,,,,,,,,,1.18,,296.0,,770.0,,23.0,,0.366,,,,0.01,,0.93,,0.25,,,,,,,6.3,,67.0,,,,,,,,0.322,,6.41,6.41,,,,,,0.6,3.0,,8.84,2.5,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Fenugreek,100.0,,0.05,0.002,6.4
,,,0.9,,,,,25.0,,15.0,,,,,0.05,,,71.0,,,,,,,2.0,,11.0,,11.0,,,,,,,,,1.0,,,,,,,,,,,,,,,20.0,,0.1,,0.2,,,,,,,,,,,,,,,28.0,,350.0,,1.2,,0.02,,,,,,,,,,,,,,,,,6.0,,,,,,,,0.05,,,0.7,,,,,,0.03,10.0,,82.2,0.2,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Galangal,100.0,56.3,10.22,0.002,6.0
,,,5.8,,,,,646.0,,50.0,,,,,0.5,,,337.0,,,,,,,16.0,,10.0,,10.0,,,,,,,,,36.9,,,,,,,,,,,,,,,170.0,,1.5,,1.5,,,,,,,,,,,,,,,200.0,,1441.0,,15.9,,0.2,,,,,,,,,,,,,,,,,16.0,,,,,,,,0.3,,,15.9,,,,,,0.65,21.0,,9.0,3.0,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Star Anise,100.0,56.3,10.22,0.002,6.0
0.17,,0.13,2.57,0.41,12.0,,,55.0,1.0,62.64,106.0,2169.0,,13.9,0.334,890.0,0.02,241.0,0.01,0.06,0.04,,,,7.3,,10.0,,,,19.46,,12.86,0.44,0.12,0.06,,2.66,0.1,,0.16,110.0,,0.17,,,,,0.01,,,,32.0,,0.08,0.04,1.84,0.05,0.004,,,,,,,,,,,0.38,0.09,71.0,16.0,1162.0,0.08,3.39,,0.09,,,,,,0.03,,0.002,,,,,,,1.6,0.12,10.0,,2.0,20.25,,,,,0.02,0.09,53.4,0.51,0.01,0.06,0.13,180.0,,0.14,1.0,,30.89,0.39,,Dried fruits,"Vegan,Vegetarian",6,"Dried Fruits (apricots, plums)",100.0,3.1,4.33,,4.0
