match_type,value
intersection,"baby toddler cereal, rice, dry"
intersection,"baby toddler cereal, rice, ready-to-eat"
intersection,baby toddler chicken
intersection,baby toddler cookie
intersection,baby toddler crackers
intersection,baby toddler crunchies
intersection,"baby toddler food, nfs"
intersection,baby toddler fruit and meat
intersection,"baby toddler fruit and vegetables, stage 2"
intersection,"baby toddler fruit and vegetables, stage 3"
intersection,"baby toddler fruit and vegetables, with grain"
intersection,"baby toddler fruit and vegetables, with yogurt"
intersection,"baby toddler fruit, nfs"
intersection,"baby toddler fruit, vegetables, and meat"
intersection,"baby toddler fruit, with grain"
intersection,"baby toddler fruit, with yogurt"
intersection,"baby toddler green beans, stage 1"
intersection,"baby toddler green beans, stage 2"
intersection,baby toddler ham
intersection,"baby toddler juice, apple"
intersection,"baby toddler juice, fruit and vegetable"
intersection,"baby toddler juice, fruit and yogurt blend"
intersection,"baby toddler juice, grape"
intersection,"baby toddler juice, mixed fruit"
intersection,"baby toddler juice, nfs"
intersection,"baby toddler juice, pear"
intersection,baby toddler mangoes
intersection,baby toddler meat stick
intersection,"baby toddler meat, nfs"
intersection,"baby toddler multiple fruit, stage 2"
intersection,"baby toddler multiple fruit, stage 3"
intersection,"baby toddler multiple vegetables, stage 2"
intersection,"baby toddler multiple vegetables, stage 3"
intersection,"baby toddler peaches, stage 1"
intersection,"baby toddler peaches, stage 2"
intersection,"baby toddler pears, stage 1"
intersection,"baby toddler pears, stage 2"
intersection,"baby toddler peas, stage 1"
intersection,"baby toddler peas, stage 2"
intersection,baby toddler prunes
intersection,baby toddler pudding
intersection,"baby toddler puffs, fruit"
intersection,"baby toddler puffs, vegetable"
intersection,"baby toddler snack, nfs"
intersection,"baby toddler squash, stage 1"
intersection,"baby toddler squash, stage 2"
intersection,"baby toddler sweet potatoes, stage 1"
intersection,"baby toddler sweet potatoes, stage 2"
intersection,baby toddler turkey
intersection,"baby toddler vegetable, nfs"
intersection,baby toddler vegetables and meat
intersection,"baby toddler vegetables, with grain"
intersection,baby toddler wheels
intersection,baby toddler yogurt melts
intersection,"baby toddler yogurt, plain"
intersection,"baby toddler yogurt, with fruit"
intersection,bacalaitos fritos
intersection,bacon and tomato dressing
intersection,bacon biscuit sandwich
intersection,bacon bits
intersection,"bacon or side pork, fresh, cooked"
intersection,"bacon strip, meatless"
intersection,"bacon, for use on a sandwich"
intersection,"bacon, for use with vegetables"
intersection,"bacon, lettuce, tomato sandwich on wheat"
intersection,"bacon, lettuce, tomato sandwich on white"
intersection,"bacon, ns as to type of meat, cooked"
intersection,"bacon, ns as to type of meat, reduced sodium, cooked"
intersection,bagel
intersection,bagel chips
intersection,"bagel, multigrain"
intersection,"bagel, multigrain, with raisins"
intersection,"bagel, oat bran"
intersection,"bagel, pumpernickel"
intersection,"bagel, wheat"
intersection,"bagel, wheat bran"
intersection,"bagel, wheat, with fruit and nuts"
intersection,"bagel, wheat, with raisins"
intersection,"bagel, whole grain white"
intersection,"bagel, whole wheat"
intersection,"bagel, whole wheat, with raisins"
intersection,"bagel, with fruit other than raisins"
intersection,"bagel, with raisins"
intersection,baked beans
intersection,baked beans from fast food / restaurant
intersection,"baked beans, reduced sodium"
intersection,"baked beans, vegetarian"
intersection,baklava
intersection,"bamboo shoots, cooked"
intersection,banana chips
intersection,banana nectar
intersection,banana pudding
intersection,banana split
intersection,"banana, baked"
intersection,"banana, raw"
intersection,bao bun
intersection,"bao bun, no meat"
intersection,"barbecue beef sandwich, on wheat bun"
intersection,"barbecue beef sandwich, on white bun"
intersection,"barbecue beef, no sauce"
intersection,"barbecue beef, with sauce"
intersection,barbecue chicken
intersection,"barbecue chicken sandwich, on wheat bun"
intersection,"barbecue chicken sandwich, on white bun"
intersection,"barbecue meat, nfs"
intersection,"barbecue pork sandwich, on wheat bun"
intersection,"barbecue pork sandwich, on white bun"
intersection,"barbecue pork, no sauce"
intersection,"barbecue pork, with sauce"
intersection,barbecue rib sandwich
intersection,"barbecue sandwich, nfs"
intersection,barbecue sauce
intersection,"barfi or burfi, indian dessert"
intersection,barley
intersection,basbousa
intersection,"basil, raw"
intersection,bean cake
intersection,bean chips
intersection,"bean dip, made with refried beans"
intersection,"bean paste, sweetened"
intersection,"bean salad, yellow and/or green string beans"
intersection,"bean sprouts, cooked"
intersection,"bean sprouts, raw"
intersection,beans and brown rice
intersection,beans and franks
intersection,"beans and rice, from fast food / restaurant"
intersection,"beans and rice, with meat"
intersection,"beans and rice, with tomatoes"
intersection,"beans and tomatoes, fat added"
intersection,"beans and tomatoes, no added fat"
intersection,beans and white rice
intersection,"beans with meat, ns as to type"
intersection,"beans, from canned, ns as to type, fat added"
intersection,"beans, from canned, ns as to type, no added fat"
intersection,"beans, from dried, ns as to type, fat added"
intersection,"beans, from dried, ns as to type, no added fat"
intersection,"beans, from fast food / restaurant, ns as to type"
intersection,"beans, nfs"
intersection,bear
intersection,beaver
intersection,beef and broccoli
intersection,beef and macaroni with cheese sauce
intersection,beef and noodles with cream or white sauce
intersection,beef and noodles with gravy
intersection,beef and noodles with mushroom sauce
intersection,beef and noodles with soy-based sauce
intersection,beef and noodles with tomato-based sauce
intersection,"beef and noodles, no sauce"
intersection,beef and potatoes with cheese sauce
intersection,"beef and potatoes with cream sauce, white sauce or mushroom sauce"
intersection,"beef and potatoes, no sauce"
intersection,beef and rice with cheese sauce
intersection,beef and rice with cream sauce
intersection,beef and rice with gravy
intersection,beef and rice with mushroom sauce
intersection,beef and rice with soy-based sauce
intersection,beef and rice with tomato-based sauce
intersection,"beef and rice, no sauce"
intersection,"beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy"
intersection,"beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce"
intersection,"beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce"
intersection,"beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy"
intersection,"beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce"
intersection,"beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce"
intersection,"beef and vegetables, hawaiian style"
intersection,beef as ingredient in recipes
intersection,beef burgundy
intersection,beef chow mein or chop suey with noodles
intersection,"beef chow mein or chop suey, no noodles"
intersection,beef curry
intersection,beef curry with rice
intersection,"beef dinner, nfs, frozen meal"
intersection,beef egg foo yung
intersection,beef jerky
intersection,"beef rolls, stuffed with vegetables or meat mixture, tomato-based sauce"
intersection,beef salad
intersection,beef sausage
intersection,beef sausage with cheese
intersection,"beef shish kabob with vegetables, excluding potatoes"
intersection,"beef steak with onions, puerto rican style"
intersection,"beef stew with potatoes, puerto rican style"
intersection,beef stroganoff
intersection,beef stroganoff with noodles
intersection,"beef taco filling: beef, cheese, tomato, taco sauce"
intersection,beef wellington
intersection,beef with cream or white sauce
intersection,beef with gravy
intersection,beef with mushroom sauce
intersection,beef with soy-based sauce
intersection,"beef with spaetzle or rice, vegetable, frozen meal"
intersection,beef with sweet and sour sauce
intersection,beef with tomato-based sauce
intersection,"beef with vegetable, diet frozen meal"
intersection,"beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce"
intersection,"beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce"
intersection,"beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce"
intersection,"beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce"
intersection,"beef, bacon, cooked"
intersection,"beef, bacon, reduced sodium, cooked"
intersection,"beef, brisket"
intersection,"beef, corned"
intersection,"beef, cow head"
intersection,"beef, dried, chipped, cooked in fat"
intersection,"beef, dried, chipped, uncooked"
intersection,"beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
intersection,"beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
intersection,"beef, for use with vegetables"
intersection,"beef, ground"
intersection,"beef, ground, patty"
intersection,"beef, ground, raw"
intersection,"beef, ground, with egg and onion"
intersection,"beef, neck bones"
intersection,"beef, nfs"
intersection,"beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
intersection,"beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce"
intersection,"beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
intersection,"beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce"
intersection,"beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
intersection,"beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
intersection,"beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce"
intersection,"beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"
intersection,"beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce"
intersection,"beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
intersection,"beef, oxtails"
intersection,"beef, pot roast"
intersection,"beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce"
intersection,"beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce"
intersection,"beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
intersection,"beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce"
intersection,"beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
intersection,"beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce"
intersection,"beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce"
intersection,"beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
intersection,"beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"
intersection,"beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce"
intersection,"beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
intersection,"beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce"
intersection,"beef, prepackaged or deli, luncheon meat"
intersection,"beef, prepackaged or deli, luncheon meat, reduced sodium"
intersection,"beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce"
intersection,"beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
intersection,"beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce"
intersection,"beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
intersection,"beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce"
intersection,"beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
intersection,"beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce"
intersection,"beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
intersection,"beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce"
intersection,"beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"
intersection,"beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce"
intersection,"beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
intersection,"beef, roast"
intersection,"beef, roast, hash"
intersection,"beef, sandwich steak"
intersection,"beef, shortribs"
intersection,"beef, sliced, with gravy, potatoes, vegetable, frozen meal"
intersection,"beef, steak, chuck"
intersection,"beef, steak, country fried"
intersection,"beef, steak, cube"
intersection,"beef, steak, flank"
intersection,"beef, steak, nfs"
intersection,"beef, steak, ribeye, lean and fat eaten"
intersection,"beef, steak, ribeye, lean only eaten"
intersection,"beef, steak, ribeye, ns as to fat eaten"
intersection,"beef, steak, round"
intersection,"beef, steak, sirloin, lean and fat eaten"
intersection,"beef, steak, sirloin, lean only eaten"
intersection,"beef, steak, sirloin, ns as to fat eaten"
intersection,"beef, steak, strip, lean and fat eaten"
intersection,"beef, steak, strip, lean only eaten"
intersection,"beef, steak, strip, ns as to fat eaten"
intersection,"beef, steak, t-bone, lean and fat eaten"
intersection,"beef, steak, t-bone, lean only eaten"
intersection,"beef, steak, t-bone, ns as to fat eaten"
intersection,"beef, steak, tenderloin"
intersection,"beef, stew meat"
intersection,"beef, tofu, and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce"
intersection,"beef, tofu, and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce"
intersection,beer
intersection,"beer, higher alcohol"
intersection,"beer, light"
intersection,"beer, nonalcoholic"
intersection,"beet greens, cooked"
intersection,"beet greens, raw"
intersection,beet juice
intersection,"beets, canned, cooked, fat added"
intersection,"beets, canned, cooked, no added fat"
intersection,"beets, canned, reduced sodium, cooked"
intersection,"beets, fresh, cooked, fat added"
intersection,"beets, fresh, cooked, no added fat"
intersection,"beets, ns as to form, cooked"
intersection,"beets, pickled"
intersection,"beets, raw"
intersection,beignet
intersection,"berries, frozen"
intersection,"berries, nfs"
intersection,"bibimbap, korean"
intersection,big mac (mcdonalds)
intersection,biryani with chicken
intersection,biryani with meat
intersection,biryani with vegetables
intersection,"biscayne codfish, puerto rican style"
intersection,biscuit with fruit
intersection,biscuit with gravy
intersection,"biscuit, cheese"
intersection,"biscuit, from fast food / restaurant"
intersection,"biscuit, from refrigerated dough"
intersection,"biscuit, home recipe"
intersection,"biscuit, nfs"
intersection,"biscuit, wheat"
intersection,bison
intersection,"bitter melon, cooked"
intersection,"bitter melon, horseradish, jute, or radish leaves, cooked"
intersection,black bean salad
intersection,black bean sauce
intersection,black beans and brown rice
intersection,"black beans and rice, from fast food / restaurant"
intersection,black beans and white rice
intersection,black beans with meat
intersection,"black beans, from canned, fat added"
intersection,"black beans, from canned, no added fat"
intersection,"black beans, from canned, reduced sodium"
intersection,"black beans, from dried, fat added"
intersection,"black beans, from dried, no added fat"
intersection,"black beans, from fast food / restaurant"
intersection,"black beans, nfs"
intersection,black russian
intersection,"blackberries, frozen"
intersection,"blackberries, raw"
intersection,"blackberry juice, 100%"
intersection,"blackeyed peas, from canned"
intersection,"blackeyed peas, from dried"
intersection,"blackeyed peas, from frozen"
intersection,"blackeyed peas, nfs"
intersection,blood sausage
intersection,bloody mary
intersection,"bluberries, canned"
intersection,blue or roquefort cheese dressing
intersection,"blue or roquefort cheese dressing, fat free"
intersection,"blue or roquefort cheese dressing, light"
intersection,"blueberries, dried"
intersection,"blueberries, frozen"
intersection,"blueberries, raw"
intersection,blueberry juice
intersection,blueberry pie filling
intersection,blueberry syrup
intersection,bologna
intersection,bologna sandwich on wheat
intersection,"bologna sandwich on wheat, with cheese"
intersection,bologna sandwich on white
intersection,"bologna sandwich on white, with cheese"
intersection,"bologna, reduced fat"
intersection,"bologna, reduced sodium"
intersection,brains
intersection,brandy
intersection,brandy alexander
intersection,brandy and cola
intersection,bratwurst
intersection,"bratwurst, with cheese"
intersection,brazil nuts
intersection,bread stuffing
intersection,bread stuffing made with egg
intersection,"bread, barley"
intersection,"bread, barley, toasted"
intersection,"bread, black"
intersection,"bread, black, toasted"
intersection,"bread, boston brown"
intersection,"bread, chappatti or roti"
intersection,"bread, cheese"
intersection,"bread, cheese, toasted"
intersection,"bread, cinnamon"
intersection,"bread, cinnamon, toasted"
intersection,"bread, cornmeal and molasses"
intersection,"bread, cornmeal and molasses, toasted"
intersection,"bread, cuban"
intersection,"bread, cuban, toasted"
intersection,"bread, dough, fried"
intersection,"bread, egg, challah"
intersection,"bread, egg, challah, toasted"
intersection,"bread, french or vienna"
intersection,"bread, french or vienna, toasted"
intersection,"bread, french or vienna, whole wheat"
intersection,"bread, french or vienna, whole wheat, toasted"
intersection,"bread, fruit"
intersection,"bread, gluten free"
intersection,"bread, gluten free, toasted"
intersection,"bread, high protein, toasted"
intersection,"bread, irish soda"
intersection,"bread, italian, grecian, armenian"
intersection,"bread, italian, grecian, armenian, toasted"
intersection,"bread, lard, puerto rican style"
intersection,"bread, lard, toasted, puerto rican style"
intersection,"bread, made from home recipe or purchased at a bakery, ns as to major flour"
intersection,"bread, made from home recipe or purchased at a bakery, toasted, ns as to major flour"
intersection,"bread, marble rye and pumpernickel"
intersection,"bread, marble rye and pumpernickel, toasted"
intersection,"bread, multigrain"
intersection,"bread, multigrain, reduced calorie and/or high fiber"
intersection,"bread, multigrain, reduced calorie and/or high fiber, toasted"
intersection,"bread, multigrain, toasted"
intersection,"bread, multigrain, with raisins"
intersection,"bread, multigrain, with raisins, toasted"
intersection,"bread, naan"
intersection,"bread, native, water, puerto rican style"
intersection,"bread, native, water, toasted, puerto rican style"
intersection,"bread, ns as to major flour"
intersection,"bread, ns as to major flour, toasted"
intersection,"bread, nut"
intersection,"bread, oat bran"
intersection,"bread, oat bran, toasted"
intersection,"bread, oatmeal"
intersection,"bread, oatmeal, toasted"
intersection,"bread, onion"
intersection,"bread, onion, toasted"
intersection,"bread, paratha"
intersection,"bread, pita"
intersection,"bread, pita with fruit"
intersection,"bread, pita, wheat or cracked wheat"
intersection,"bread, pita, whole wheat"
intersection,"bread, potato"
intersection,"bread, potato, toasted"
intersection,"bread, pumpernickel"
intersection,"bread, pumpernickel, toasted"
intersection,"bread, pumpkin"
intersection,"bread, puri"
intersection,"bread, raisin"
intersection,"bread, raisin, toasted"
intersection,"bread, reduced calorie and/or high fiber, white or nfs"
intersection,"bread, reduced calorie and/or high fiber, white or nfs, toasted"
intersection,"bread, reduced calorie and/or high fiber, white or nfs, with fruit and/or nuts"
intersection,"bread, reduced calorie and/or high fiber, white or nfs, with fruit and/or nuts, toasted"
intersection,"bread, rice"
intersection,"bread, rice, toasted"
intersection,"bread, rye"
intersection,"bread, rye, toasted"
intersection,"bread, sour dough"
intersection,"bread, sour dough, toasted"
intersection,"bread, soy"
intersection,"bread, soy, toasted"
intersection,"bread, spanish coffee"
intersection,"bread, sprouted wheat"
intersection,"bread, sprouted wheat, toasted"
intersection,"bread, sunflower meal"
intersection,"bread, sunflower meal, toasted"
intersection,"bread, sweet potato"
intersection,"bread, sweet potato, toasted"
intersection,"bread, vegetable"
intersection,"bread, vegetable, toasted"
intersection,"bread, wheat or cracked wheat"
intersection,"bread, wheat or cracked wheat, made from home recipe or purchased at bakery"
intersection,"bread, wheat or cracked wheat, made from home recipe or purchased at bakery, toasted"
intersection,"bread, wheat or cracked wheat, reduced calorie and/or high fiber"
intersection,"bread, wheat or cracked wheat, reduced calorie and/or high fiber, toasted"
intersection,"bread, wheat or cracked wheat, toasted"
intersection,"bread, wheat or cracked wheat, with raisins"
intersection,"bread, wheat or cracked wheat, with raisins, toasted"
intersection,"bread, white"
intersection,"bread, white with whole wheat swirl"
intersection,"bread, white with whole wheat swirl, toasted"
intersection,"bread, white, made from home recipe or purchased at a bakery"
intersection,"bread, white, made from home recipe or purchased at a bakery, toasted"
intersection,"bread, white, special formula, added fiber"
intersection,"bread, white, special formula, added fiber, toasted"
intersection,"bread, white, toasted"
intersection,"bread, whole grain white"
intersection,"bread, whole grain white, toasted"
intersection,"bread, whole wheat"
intersection,"bread, whole wheat, made from home recipe or purchased at bakery"
intersection,"bread, whole wheat, made from home recipe or purchased at bakery, toasted"
intersection,"bread, whole wheat, toasted"
intersection,"bread, whole wheat, with raisins"
intersection,"bread, whole wheat, with raisins, toasted"
intersection,"bread, zucchini"
intersection,"breadfruit, cooked"
intersection,breading or batter as ingredient in food
intersection,"breadsticks, hard, gluten free"
intersection,"breadsticks, hard, nfs"
intersection,"breadsticks, hard, reduced sodium"
intersection,"breadsticks, hard, whole wheat"
intersection,"breadsticks, nfs"
intersection,"breadsticks, soft, fast food / restaurant"
intersection,"breadsticks, soft, frozen"
intersection,"breadsticks, soft, nfs"
intersection,"breadsticks, soft, stuffed or topped with melted cheese"
intersection,"breadsticks, soft, with parmesan cheese, fast food / restaurant"
intersection,"breakfast bar, cereal crust with fruit filling, lowfat"
intersection,"breakfast bar, date, with yogurt coating"
intersection,"breakfast bar, nfs"
intersection,"breakfast link, pattie, or slice, meatless"
intersection,breakfast meat as ingredient in omelet
intersection,"breakfast pastry, nfs"
intersection,breakfast pizza with egg
intersection,breakfast tart
intersection,"breakfast tart, lowfat"
intersection,brioche
intersection,"broccoflower, cooked"
intersection,"broccoflower, raw"
intersection,"broccoli and cauliflower, cooked, fat added"
intersection,"broccoli and cauliflower, cooked, no added fat"
intersection,broccoli casserole with noodles
intersection,broccoli casserole with rice
intersection,"broccoli raab, cooked"
intersection,"broccoli raab, raw"
intersection,"broccoli salad with cauliflower, cheese, bacon bits, and dressing"
intersection,broccoli slaw salad
intersection,"broccoli, cauliflower and carrots, cooked, fat added"
intersection,"broccoli, cauliflower and carrots, cooked, no added fat"
intersection,"broccoli, chinese, cooked"
intersection,"broccoli, chinese, raw"
intersection,"broccoli, cooked, as ingredient"
intersection,"broccoli, cooked, from restaurant"
intersection,"broccoli, fresh, cooked with butter or margarine"
intersection,"broccoli, fresh, cooked with oil"
intersection,"broccoli, fresh, cooked, fat added, ns as to fat type"
intersection,"broccoli, fresh, cooked, no added fat"
intersection,"broccoli, frozen, cooked with butter or margarine"
intersection,"broccoli, frozen, cooked with oil"
intersection,"broccoli, frozen, cooked, fat added, ns as to fat type"
intersection,"broccoli, frozen, cooked, no added fat"
intersection,"broccoli, ns as to form, cooked"
intersection,"broccoli, raw"
intersection,bruschetta
intersection,"brussels sprouts, fresh, cooked, fat added"
intersection,"brussels sprouts, fresh, cooked, no added fat"
intersection,"brussels sprouts, frozen, cooked, fat added"
intersection,"brussels sprouts, frozen, cooked, no added fat"
intersection,"brussels sprouts, ns as to form, cooked"
intersection,"brussels sprouts, raw"
intersection,buckwheat groats
intersection,buffalo sauce
intersection,"bulgur, fat added"
intersection,"bulgur, no added fat"
intersection,"bulgur, ns as to fat"
intersection,"burdock, cooked"
intersection,"burrito bowl, beef or pork"
intersection,"burrito bowl, beef or pork, with beans"
intersection,"burrito bowl, beef or pork, with beans and rice"
intersection,"burrito bowl, beef or pork, with rice"
intersection,"burrito bowl, chicken"
intersection,"burrito bowl, chicken, with beans"
intersection,"burrito bowl, chicken, with beans and rice"
intersection,"burrito bowl, chicken, with rice"
intersection,"burrito bowl, nfs"
intersection,"burrito bowl, with beans"
intersection,"burrito, beef, cheese"
intersection,"burrito, beef, with beans and rice, cheese"
intersection,"burrito, beef, with beans, cheese"
intersection,"burrito, beef, with rice, cheese"
intersection,"burrito, cheese only"
intersection,"burrito, chicken, cheese"
intersection,"burrito, chicken, with beans and rice, cheese"
intersection,"burrito, chicken, with beans, cheese"
intersection,"burrito, chicken, with rice, cheese"
intersection,"burrito, meat, no cheese"
intersection,"burrito, meat, with beans and rice, no cheese"
intersection,"burrito, meat, with beans, no cheese"
intersection,"burrito, meat, with rice, no cheese"
intersection,"burrito, nfs"
intersection,"burrito, pork, cheese"
intersection,"burrito, pork, with beans and rice, cheese"
intersection,"burrito, pork, with beans, cheese"
intersection,"burrito, pork, with rice, cheese"
intersection,"burrito, with beans and rice, cheese"
intersection,"burrito, with beans, cheese"
intersection,"burrito, with beans, no cheese"
intersection,"butter replacement, liquid"
intersection,"butter replacement, powder"
intersection,"butter, light"
intersection,"butter, nfs"
intersection,"butter, stick"
intersection,"butter, tub"
intersection,buttermilk
intersection,"cabbage salad, nfs"
intersection,cabbage with ham hocks
intersection,"cabbage, chinese, cooked, fat added"
intersection,"cabbage, chinese, cooked, no added fat"
intersection,"cabbage, chinese, raw"
intersection,"cabbage, cooked, as ingredient"
intersection,"cabbage, green, cooked with butter or margarine"
