Food Group,Macronutrient Focus,Processing Level,Culinary Usage,Health Impact,id,diets,allergens
Dairy; Oils and fats; Proteins,Fat-rich; Protein-rich,Processed,Sauce; Meal Component,Unhealthy,428,"Nut-Free,Mineral-Rich,Halal,Egg-Free,Soy-Free","Milk,Cereals containing gluten"
Dairy; Oils and fats; Proteins; Vegetables,Fat-rich; Protein-rich,Processed,Sauce; Meal Component,Moderate,429,"Nut-Free,Mineral-Rich,Halal,Vitamin-Rich,Egg-Free,Soy-Free","Milk,Cereals containing gluten"
Dairy; Oils and fats; Proteins,Fat-rich; Protein-rich,Processed,Sauce; Meal Component,Unhealthy,430,"Nut-Free,Mineral-Rich,Halal,Egg-Free,Soy-Free","Milk,Cereals containing gluten"
Dairy; Oils and fats; Proteins; Vegetables,Fat-rich; Protein-rich,Processed,Sauce; Meal Component,Moderate,431,"Nut-Free,Mineral-Rich,Halal,Vitamin-Rich,Egg-Free,Soy-Free","Milk,Cereals containing gluten"
Dairy; Oils and fats; Proteins,Fat-rich; Protein-rich,Processed,Sauce; Meal Component,Unhealthy,432,"Pescatarian,Mineral-Rich,Halal,Nut-Free,Egg-Free,Soy-Free","Milk,Cereals containing gluten,Fish,Crustaceans,Molluscs"
Dairy; Oils and fats; Proteins; Vegetables,Fat-rich; Protein-rich,Processed,Sauce; Meal Component,Moderate,433,"Pescatarian,Mineral-Rich,Halal,Vitamin-Rich,Nut-Free,Egg-Free,Soy-Free","Milk,Cereals containing gluten,Fish,Crustaceans,Molluscs"
Proteins; Oils and fats,Fat-rich; Protein-rich,Processed,Spread; Ingredient,Healthy,2150,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Egg-Free,Soy-Free",Nuts (almonds)
Composite Meal; Grains; Proteins; Fruits; Sweets and snacks,Carbohydrate-rich; Fat-rich,Processed,Meal; Snack,Moderate,2182,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Egg-Free,Soy-Free","Nuts (almonds),Cereals containing gluten"
Composite Meal; Grains; Proteins; Fruits; Sweets and snacks,Carbohydrate-rich; Fat-rich,Processed,Meal; Snack,Unhealthy,2181,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Egg-Free,Soy-Free","Nuts (almonds),Cereals containing gluten"
Composite Meal; Grains; Proteins,Protein-rich; Carbohydrate-rich; Fat-rich,Processed,Meal; Snack,Healthy,2180,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Egg-Free,Soy-Free","Nuts (almonds),Cereals containing gluten"
Composite Meal; Grains; Proteins,Protein-rich; Carbohydrate-rich; Fat-rich,Processed,Meal; Snack,Moderate,2179,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Egg-Free,Soy-Free","Nuts (almonds),Cereals containing gluten"
Proteins; Oils and fats,Fat-rich; Protein-rich,Processed,Spread; Ingredient,Healthy,2151,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Low Sodium,Egg-Free,Soy-Free",Nuts (almonds)
Proteins; Nuts; Vegetables; Condiments; Grains,Protein-rich; Fat-rich,Processed,Meal Component,Moderate,1414,"Low-Carb,Mineral-Rich,High-Protein,Halal,Vitamin-Rich,Kosher,Dairy-Free,Low-Fat,Egg-Free","Nuts (almonds),Soybeans,Cereals containing gluten"
Beverages; Sweets and snacks,Carbohydrate-rich,Highly Processed,Beverage; Dessert,Unhealthy,25,"Vegan,Vegetarian,Halal,Kosher,Dairy-Free,Gluten-Free,Lactose-Free,Pescatarian,Paleo,Egg-Free,Soy-Free","Nuts (almonds),Soybeans"
Beverages,Balanced,Processed,Beverage; Ingredient,Neutral,27,"Vegan,Vegetarian,Halal,Kosher,Dairy-Free,Gluten-Free,Lactose-Free,Pescatarian,Paleo,Egg-Free,Soy-Free",Nuts (almonds)
Beverages,Carbohydrate-rich,Processed,Beverage; Ingredient,Neutral,24,"Vegan,Vegetarian,Halal,Kosher,Dairy-Free,Gluten-Free,Lactose-Free,Pescatarian,Paleo,Egg-Free,Soy-Free",Nuts (almonds)
Beverages,Fat-rich,Processed,Beverage; Ingredient,Healthy,26,"Vegan,Vegetarian,Halal,Kosher,Dairy-Free,Gluten-Free,Lactose-Free,Pescatarian,No Added Sugar,Keto,Low-Carb,Paleo,Egg-Free,Soy-Free",Nuts (almonds)
Oils and fats; Nuts,Fat-rich,Processed,Cooking Oil; Dressing; Finishing Oil,Healthy,4798,"Vegan,Vegetarian,Halal,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Egg-Free,Soy-Free",Nuts (almonds)
Proteins; Sweets and snacks,Carbohydrate-rich; Fat-rich,Processed,Ingredient,Unhealthy,2152,"Vegan,Vegetarian,Halal,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Egg-Free,Soy-Free",Nuts (almonds)
Sweets and snacks; Nuts; Dairy; Oils and fats,Fat-rich; Carbohydrate-rich,Highly Processed,Candy; Treat,Unhealthy,4943,"Vegetarian,Mineral-Rich,Halal,Pescatarian,Gluten-Free,Egg-Free","Milk,Nuts (almonds),Soybeans"
Proteins; Oils and fats; Sweets and snacks,Fat-rich; Protein-rich,Processed,Snack,Moderate,2107,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Egg-Free","Nuts (almonds),Soybeans"
Proteins; Oils and fats; Sweets and snacks,Fat-rich; Protein-rich; Carbohydrate-rich,Processed,Snack,Moderate,2108,"Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Egg-Free,Soy-Free",Nuts (almonds)
Proteins; Oils and fats,Fat-rich; Protein-rich,Processed,Snack,Healthy,2105,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,No Added Sugar,Egg-Free,Soy-Free",Nuts (almonds)
Proteins; Oils and fats,Fat-rich; Protein-rich,Minimally Processed,Snack; Ingredient,Healthy,2102,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Egg-Free,Soy-Free",Nuts (almonds)
Proteins; Oils and fats,Fat-rich; Protein-rich,Processed,Snack,Healthy,2104,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,No Added Sugar,Egg-Free,Soy-Free",Nuts (almonds)
Proteins; Oils and fats,Fat-rich; Protein-rich,Minimally Processed,Snack; Ingredient,Healthy,2103,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Egg-Free,Soy-Free",Nuts (almonds)
Proteins; Oils and fats,Fat-rich; Protein-rich,Minimally Processed,Snack; Ingredient,Healthy,2106,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Egg-Free,Soy-Free",Nuts (almonds)
Beverages; Sweets and snacks,Carbohydrate-rich,Highly Processed,Beverage,Moderate,4450,"Vegan,Vegetarian,Halal,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Low-Fat,Nut-Free,Egg-Free,Soy-Free",
Fruits; Sweets and snacks; Dairy; Nuts,Carbohydrate-rich,Processed,Salad; Dessert,Unhealthy,3903,"Vegetarian,Mineral-Rich,Vitamin-Rich,Gluten-Free,Pescatarian,Egg-Free,Soy-Free","Milk,Nuts (coconut)"
Oils and fats,Fat-rich,Minimally Processed,Cooking Fat; Flavoring,Unhealthy,4782,"Gluten-Free,Dairy-Free,Keto,Low-Carb,Paleo,Nut-Free,Egg-Free,Soy-Free",
Grains; Sweets and snacks; Spices,Carbohydrate-rich,Processed,Sweet Cracker; Dessert,Unhealthy,2320,"Vegetarian,Halal,Kosher,Pescatarian,Nut-Free,Soy-Free","Cereals containing gluten,Eggs,Milk"
Composite Meal,Balanced,Processed,Appetizer Platter,Moderate,1491,"Keto,Low-Carb,Mineral-Rich,Vitamin-Rich,High-Protein,Gluten-Free,Nut-Free,Egg-Free,Soy-Free","Milk,Fish"
Beverages; Fruits,Carbohydrate-rich,Minimally Processed,Beverage,Healthy,3936,"Vegan,Vegetarian,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Low-Fat,Nut-Free,Egg-Free,Soy-Free",
Beverages; Fruits; Sweets and snacks,Carbohydrate-rich,Highly Processed,Beverage,Moderate,5208,"Vegan,Vegetarian,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Low-Carb,Pescatarian,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Beverages; Fruits,Carbohydrate-rich,Processed,Beverage,Healthy,3937,"Vegan,Vegetarian,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Beverages; Fruits,Carbohydrate-rich,Processed,Beverage,Healthy,3938,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Fruits; Sweets and snacks,Carbohydrate-rich,Highly Processed,Dessert Ingredient,Unhealthy,3836,"Vegan,Vegetarian,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",
Fruits; Condiments; Oils and fats; Dairy; Nuts; Celery,Carbohydrate-rich; Fat-rich,Processed,Salad; Side Dish,Moderate,3910,"Vegetarian,Mineral-Rich,Vitamin-Rich,Gluten-Free,Pescatarian,Nut-Free","Eggs,Soybeans,Mustard"
Fruits; Sweets and snacks,Carbohydrate-rich,Processed,Dessert; Side Dish,Healthy,3837,"Vegan,Vegetarian,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Low-Fat,Nut-Free,Egg-Free,Soy-Free",
Fruits; Sweets and snacks,Carbohydrate-rich,Highly Processed,Treat; Fair Food,Unhealthy,3911,"Vegan,Vegetarian,Halal,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Low-Fat,Nut-Free,Egg-Free,Soy-Free",
Fruits; Sweets and snacks,Carbohydrate-rich,Processed,Snack; Ingredient,Moderate,3813,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Low-Fat,Nut-Free,Egg-Free,Soy-Free",
Fruits,Carbohydrate-rich,Minimally Processed,Snack; Ingredient; Juice,Healthy,3832,"Vegan,Vegetarian,Gluten-Free,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Fruits; Sweets and snacks,Carbohydrate-rich,Processed,Snack; Side Dish,Moderate,3835,"Vegan,Vegetarian,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Low-Fat,Nut-Free,Egg-Free,Soy-Free",
Fruits; Sweets and snacks,Carbohydrate-rich,Processed,Side Dish; Snack; Ingredient,Moderate,3833,"Vegan,Vegetarian,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Low-Fat,Nut-Free,Egg-Free,Soy-Free",
Fruits,Carbohydrate-rich,Processed,Side Dish; Snack; Ingredient,Healthy,3834,"Vegan,Vegetarian,Gluten-Free,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Beverages; Fruits; Sweets and snacks,Carbohydrate-rich,Highly Processed,Beverage,Unhealthy,3958,"Vegan,Vegetarian,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Low-Fat,Nut-Free,Egg-Free,Soy-Free",
Fruits; Sweets and snacks,Carbohydrate-rich,Processed,Fruit; Dessert,Moderate,3839,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Low-Carb,Pescatarian,Paleo,Low-Fat,Nut-Free,Egg-Free,Soy-Free",
Fruits; Sweets and snacks,Carbohydrate-rich,Processed,Snack; Ingredient,Healthy,3814,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Low-Fat,Nut-Free,Egg-Free,Soy-Free",
Fruits,Carbohydrate-rich,Minimally Processed,Snack; Fruit,Healthy,3838,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Grains; Oils and fats,Carbohydrate-rich; Fat-rich,Processed,Corn Cake,Moderate,2445,"Vegan,Vegetarian,Halal,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",
Proteins,Protein-rich,Minimally Processed,Meal Component,Variable,543,"Paleo,Keto,Mineral-Rich,Vitamin-Rich,Low-Carb,High-Protein,Gluten-Free,Dairy-Free,Nut-Free,Egg-Free,Soy-Free",
Vegetables,Carbohydrate-rich; Vitamin-rich,Minimally Processed,Appetizer; Side Dish; Ingredient,Healthy,4383,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Condiments; Vegetables; Oils and fats,Fat-rich,Highly Processed,Dip,Moderate,399,"Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Composite Meal; Vegetables; Grains; Dairy; Oils and fats; Herbs,Carbohydrate-rich; Fat-rich,Processed,Appetizer; Side Dish,Moderate,4656,"Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Pescatarian,Nut-Free,Soy-Free","Cereals containing gluten,Milk,Eggs"
Composite Meal; Proteins; Vegetables; Fruits; Nuts; Grains,Protein-rich; Balanced,Processed,Salad; Meal,Healthy,1434,"High-Protein,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Low-Fat,Egg-Free,Soy-Free","Nuts,Cereals containing gluten"
Composite Meal; Proteins; Vegetables; Fruits; Nuts,Protein-rich; Balanced,Processed,Salad; Meal,Healthy,1433,"Paleo,Low-Carb,Mineral-Rich,Halal,Vitamin-Rich,Kosher,High-Protein,Gluten-Free,Dairy-Free,Low-Fat,Egg-Free,Soy-Free",Nuts
Vegetables; Oils and fats; Condiments,Carbohydrate-rich; Fat-rich,Processed,Side Dish; Meal Component,Healthy,4653,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Nut-Free,Egg-Free","Soybeans,Sesame seeds"
Vegetables; Condiments,Carbohydrate-rich,Minimally Processed,Side Dish; Meal Component,Healthy,4652,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free","Soybeans,Sesame seeds"
Vegetables; Oils and fats; Dairy,Carbohydrate-rich; Vitamin-rich; Fat-rich,Highly Processed,Side Dish,Moderate,4463,"Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Keto,Low-Carb,Pescatarian,Paleo,Nut-Free,Egg-Free","Milk,Soybeans"
Vegetables; Oils and fats,Carbohydrate-rich; Vitamin-rich; Fat-rich,Highly Processed,Side Dish,Moderate,4462,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Nut-Free,Egg-Free,Soy-Free",
Vegetables; Oils and fats,Carbohydrate-rich; Vitamin-rich; Fat-rich,Highly Processed,Side Dish,Moderate,4457,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Nut-Free,Egg-Free,Soy-Free",
Vegetables,Carbohydrate-rich; Vitamin-rich,Highly Processed,Side Dish; Ingredient,Moderate,4453,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Vegetables; Oils and fats; Dairy,Carbohydrate-rich; Vitamin-rich; Fat-rich,Processed,Side Dish,Moderate,4459,"Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Keto,Low-Carb,Pescatarian,Paleo,Nut-Free,Egg-Free","Milk,Soybeans"
Vegetables; Oils and fats,Carbohydrate-rich; Vitamin-rich; Fat-rich,Processed,Side Dish,Healthy,4458,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Nut-Free,Egg-Free,Soy-Free",
Vegetables; Oils and fats,Carbohydrate-rich; Vitamin-rich; Fat-rich,Processed,Side Dish,Healthy,4455,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Nut-Free,Egg-Free,Soy-Free",
Vegetables,Carbohydrate-rich; Vitamin-rich,Minimally Processed,Side Dish; Ingredient,Healthy,4451,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Vegetables; Oils and fats; Dairy,Carbohydrate-rich; Vitamin-rich; Fat-rich,Processed,Side Dish,Moderate,4461,"Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Keto,Low-Carb,Pescatarian,Paleo,Nut-Free,Egg-Free","Milk,Soybeans"
Vegetables; Oils and fats,Carbohydrate-rich; Vitamin-rich; Fat-rich,Processed,Side Dish,Healthy,4460,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Nut-Free,Egg-Free,Soy-Free",
Vegetables; Oils and fats,Carbohydrate-rich; Vitamin-rich; Fat-rich,Processed,Side Dish,Healthy,4456,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Nut-Free,Egg-Free,Soy-Free",
Vegetables,Carbohydrate-rich; Vitamin-rich,Processed,Side Dish; Ingredient,Healthy,4452,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Vegetables,Carbohydrate-rich; Vitamin-rich,Processed,Side Dish; Ingredient,Healthy,4454,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Nut-Free,Egg-Free,Soy-Free",
Vegetables,Carbohydrate-rich; Vitamin-rich,Unprocessed,Ingredient; Salad,Healthy,4384,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Beverages; Grains; Dairy; Water; Sweets and snacks; Spices,Carbohydrate-rich,Processed,Warm Beverage; Light Meal,Moderate,5224,"Vegetarian,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free",Milk
Beverages; Grains; Dairy; Water; Sweets and snacks; Spices,Carbohydrate-rich,Processed,Warm Beverage; Light Meal,Moderate,5222,"Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free,Soy-Free","Milk,Cereals containing gluten (oats)"
Beverages; Grains; Dairy; Water; Sweets and snacks; Spices,Carbohydrate-rich,Processed,Warm Beverage,Unhealthy,5225,"Vegetarian,Halal,Kosher,Gluten-Free,Pescatarian,Nut-Free,Egg-Free","Milk,Soybeans"
Condiments; Fruits; Oils and fats; Dairy; Herbs,Fat-rich,Processed,Dressing; Dip,Healthy,4825,"Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Keto,Low-Carb,Pescatarian,Paleo,Nut-Free","Eggs,Soybeans,Mustard"
Fruits; Oils and fats,Fat-rich,Minimally Processed,Sandwich Spread/Layer,Healthy,4865,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Fruits; Oils and fats,Fat-rich; Carbohydrate-rich,Minimally Processed,Fruit; Ingredient,Healthy,3840,"Vegan,Vegetarian,Gluten-Free,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Dairy-Free,Lactose-Free,Keto,Low-Carb,Pescatarian,Paleo,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
Fruits,Carbohydrate-rich,Highly Processed,Baby Food,Healthy,3980,"Vegan,Vegetarian,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Low-Fat,Nut-Free,Egg-Free,Soy-Free",
Fruits,Carbohydrate-rich,Highly Processed,Baby Food,Healthy,3981,"Vegan,Vegetarian,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Low-Fat,Nut-Free,Egg-Free,Soy-Free",
Fruits,Carbohydrate-rich,Highly Processed,Baby Food,Healthy,3982,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Low-Fat,Nut-Free,Egg-Free,Soy-Free",
Fruits,Carbohydrate-rich,Highly Processed,Baby Food,Healthy,3983,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Low-Fat,Nut-Free,Egg-Free,Soy-Free",
Composite Meal; Grains; Sweets and snacks; Fruits; Oils and fats,Carbohydrate-rich,Highly Processed,Baby/Toddler Snack Bar,Moderate,2746,"Vegetarian,Halal,Vitamin-Rich,Kosher,Pescatarian,Egg-Free,Soy-Free","Cereals containing gluten,Milk,Nuts"
Proteins,Protein-rich,Highly Processed,Baby/Toddler Meal,Healthy,478,"Paleo,Keto,Mineral-Rich,Halal,Low-Carb,High-Protein,Gluten-Free,Dairy-Free,Nut-Free,Egg-Free,Soy-Free",
Vegetables,Carbohydrate-rich; Vitamin-rich,Highly Processed,Baby Food,Healthy,4743,"Vegan,Vegetarian,Mineral-Rich,Halal,Vitamin-Rich,Kosher,Gluten-Free,Dairy-Free,Lactose-Free,Pescatarian,Paleo,Low-Fat,No Added Sugar,Nut-Free,Egg-Free,Soy-Free",
