id,Title,Desc,Muscle Group,metValue,sports,Minimal Age (months)
2464,Behind-the-head push-press,"The behind-the-head push-press is an overhead press variation in which the barbell starts in the back rack position and is pushed overhead with assistance from the lower body. It is most often seen in training for Olympic weightlifting. It can be part of a barbell complex or performed for low reps focusing on power and movement quality.","Shoulders, Triceps, Legs, Full Body",8.0,Olympic Weightlifting,216
2465,Rack Delivery,"Rack Delivery is a drill in Olympic weightlifting that focuses on the turnover phase of the clean, where the athlete pulls themselves under the bar and receives it in the front rack position.","Shoulders, Traps, Back",5.0,Olympic Weightlifting,192
2466,Smith Incline Shoulder Raise,"The Smith Incline Shoulder Raise is a shoulder isolation exercise, likely a front raise, performed on an incline bench using a Smith machine for a fixed path of motion.","Shoulders, Deltoids",3.0,Bodybuilding,168
2467,Tall Muscle Snatch,"A Tall Muscle Snatch is an Olympic weightlifting assistance exercise that starts from a standing position. It isolates the upper body pulling and turnover mechanics of the snatch.","Shoulders, Traps, Back, Full Body",8.5,Olympic Weightlifting,216
2468,Axle Clean And Press,"The Axle Clean and Press is a strongman exercise that involves lifting a thick axle bar from the floor to overhead. The thickness of the bar makes the grip a significant challenge.","Full Body, Forearms, Shoulders, Legs",9.5,Strength Training,216
2469,Jerk Balance,"The Jerk Balance is an Olympic weightlifting drill used to practice the footwork and receiving position of the split jerk under load.","Shoulders, Legs, Abs, Full Body",6.0,Olympic Weightlifting,192
2470,Seated EZ-bar shrug,"The seated EZ-bar shrug is an exercise targeting the trapezius muscle, that V-shaped muscle that forms a triangle where the shoulders meet the neck. It is usually performed for moderate to high reps during an upper-body or shoulders and traps-focused workout.",Traps,3.0,Bodybuilding,168
2471,Paul Carter Barbell Seated Military Press,"The seated barbell shoulder pressis a classic exercise for building muscle and strengthening the shoulders, particularly but not exclusively the front heads. The triceps also play a significant roles in pressing the barbell overhead.","Shoulders, Triceps",4.5,"Bodybuilding, Strength Training",192
2472,TBS Barbell Military Press,"The military press is a compound movement used to build size and strength in the shoulders. It was once contested as a fourth powerlift, but is rarely competed anymore. However, being able to press a significant weight overhead remains a popular marker of upper-body strength. The military press can be trained as a strength lift or in traditional muscle-building rep ranges as part of full-body, shoulder-focused, or upper-body training.","Shoulders, Triceps",5.0,"Strength Training, Olympic Weightlifting",192
2473,Incline Front Barbell Raise - Gethin Variation,"The incline face-down bar front raise is an upper-body exercise targeting the shoulders. Because it is performed face down on an angled bench, it has a greater range of motion than standing or upright-seated raises and hits the shoulders from a different angle. Raise variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or shoulder-focused training.",Shoulders,3.5,Bodybuilding,192
2474,Barbell Front Raise - Gethin Variation,"The barbell front raise is an upper-body isolation exercise that targets the shoulders. It is usually performed for moderate to high reps, such as 8-12 reps or higher, as part of the shoulder-focused part of any workout.",Shoulders,3.5,Bodybuilding,192
2475,Single-arm barbell lateral raise,"The single-arm barbell lateral raise is an isolation exercise targeting the shoulders. It is more challenging than using a dumbbell and has an instability component that may make the deltoid muscles work harder. It is generally performed one side at a time for moderate to high reps, such as 8-15 reps per set, as part of a shoulder-focused workout.","Shoulders, Deltoids",3.5,Bodybuilding,192
2476,AM Upright Row,"The barbell upright row is a barbell exercise that builds stronger and bigger traps. Many lifters combine this move with either their back or shoulder workout since it involves both body parts.","Shoulders, Traps",4.0,Bodybuilding,192
2477,AM Barbell Shoulder Press,"The standing barbell shoulder press is a compound movement used to build size and strength in the shoulders. The shoulder press can be trained as a strength lift or in traditional muscle-building rep ranges as part of full-body, shoulder-focused, or upper-body training.","Shoulders, Triceps",5.0,Strength Training,192
2478,Standing barbell shoulder press,"The standing barbell shoulder press is a compound movement used to build size and strength in the shoulders. The shoulder press can be trained as a strength lift or in traditional muscle-building rep ranges as part of full-body, shoulder-focused, or upper-body training.","Shoulders, Triceps",5.0,Strength Training,192
2479,King Maker Barbell Thruster,"The barbell thruster is a full-body exercise that incorporates both squatting and pressing in one functional movement. It's especially common in contemporary CrossFit workouts, but also in general strength training. The barbell is usually cleaned into place first, but it could be performed taken from a squat rack in a front-rack position. The thruster can be performed in traditional strength-focused rep ranges to build strength in the press, or in higher reps for full-body conditioning.","Full Body, Quads, Glutes, Shoulders, Triceps",11.0,"Crossfit, Olympic Weightlifting",192
2480,Single-arm incline cable cross-over,"The single-arm incline cable cross-over is an isolation movement that uses a cable stack and a bench to target the upper part of the pectoral muscles. Working the chest one side at a time allows you to focus on balance between the sides of your chest and really feel the chest muscles contracting. It is common in upper-body and chest-focused muscle-building workouts, often in combination with other presses or flyes to target the chest from different angles.",Chest,3.0,Bodybuilding,168
2481,Barbell bear complex,"The barbell bear complex is a series of barbell lifts that run together in a single sequence: a barbell power clean, front squat, push-press, back squat, and another push-press from behind the neck. It trains the entire body for both building strength and improving conditioning. It is often performed for rounds, either with or without rest between rounds.",Full Body,11.5,"Crossfit, Fitness",216
2482,30 Shoulders Barbell Shrug,"A standard barbell shrug for building the trapezius muscles.","Traps",3.5,Bodybuilding,192
2483,30 Shoulders Incline Face-Up Straight-Bar Front Raise,"A front raise performed lying face-up on an incline bench with a straight bar, targeting the anterior deltoids.","Shoulders, Deltoids",3.0,Bodybuilding,192
2484,30 Shoulders Seated Dumbbell Shoulder Press,"A standard seated shoulder press with dumbbells to build shoulder strength and size.","Shoulders, Triceps",4.5,Bodybuilding,168
2485,30 Shoulders Standing Behind-The-Head Shoulder Press,"A behind-the-neck press performed while standing. This advanced move requires excellent shoulder mobility.","Shoulders, Traps, Triceps",5.0,"Bodybuilding, Olympic Weightlifting",216
2486,30 Shoulders Standing Barbell Press,"A standard standing barbell overhead press, also known as a military press.","Shoulders, Triceps",5.0,Strength Training,192
2487,FYR2 Wide Overhead Press,"An overhead press performed with a wide grip, which can target the shoulders and upper back differently than a standard press.","Shoulders, Traps",5.0,"Bodybuilding, Fitness",192
2488,Single-arm kettlebell push-press,"The single-arm kettlebell push-press is a popular kettlebell movement that involves performing a press with help from the muscles of the lower body. It is preceded by a clean at the start of each set, and optionally you can perform a clean between each rep. It can be trained in traditional strength or muscle-building rep ranges, in circuit or fat-loss training, or as part of a larger kettlebell combination or complex.","Shoulders, Triceps, Legs, Full Body",8.0,"Kettlebell Training, Crossfit",168
2489,Two-Arm Kettlebell Military Press,"A military press performed with two kettlebells, one in each hand, requiring significant stabilization.","Shoulders, Triceps",5.5,"Kettlebell Training, Strength Training",192
2490,Alternating Kettlebell Press,"A shoulder press with kettlebells, where you press one arm at a time while the other is held in the rack position, challenging core stability.","Shoulders, Triceps, Obliques",5.8,"Kettlebell Training, Fitness",168
2491,Single-arm kettlebell snatch,"The single-arm kettlebell snatch is a kettlebell exercise that involves lifting a kettlebell overhead in a single motion. It is popular as a full-body strength and conditioning movement, but it's also competed for reps in Russian-style girevoy sport. A ""snatch test"" of max reps in 5 or 10 minutes is also a common measurement of conditioning in kettlebell training. It can be performed from the ground or with a swing","Full Body, Shoulders, Back, Hamstrings, Glutes",10.0,"Kettlebell Sport, Crossfit",192
2492,Single-arm kettlebell clean and jerk,"The single-arm kettlebell clean and jerk is a popular kettlebell movement that is performed both in an exercise setting and competitively as a part of Russian-style girevoy sport. It differs from a clean and push-press in that the lifter ""dips"" under the weight rather than simply using the legs to help push the weight up. Each rep of a clean and jerk is preceded by a clean at the start of each set. It can be trained in traditional strength or muscle-building rep ranges, in circuit or fat-loss training, or as part of a larger kettlebell combination or complex.","Full Body, Shoulders, Legs",10.5,"Kettlebell Sport, Crossfit",192
2493,Kettlebell pirate ship,"The kettlebell pirate ship is a rotational shoulder and core-focused kettlebell movement. It demands the lifter raise the kettlebell to the side in both directions, emphasizing core strength in the transverse abdominis and obliques in particular. It is best learned with a light weight, using controlled movements in both directions.","Shoulders, Obliques, Abs",4.0,"Kettlebell Training, Mobility",168
2494,Two-Arm Kettlebell Clean,"A clean performed with two kettlebells, one in each hand, from the floor to the rack position.","Full Body, Hamstrings, Glutes, Back, Shoulders",8.5,"Kettlebell Training, Crossfit",192
2495,Double Kettlebell Push Press,"The double-kettlebell push-press is a popular kettlebell movement that involves performing a press with help from the muscles of the lower body. It is preceded by a double clean at the start of each set, and optionally you can perform a clean between each rep. It can be trained in traditional strength or muscle-building rep ranges, in circuit or fat-loss training, or as part of a larger kettlebell combination or complex.","Shoulders, Legs, Full Body",8.5,"Kettlebell Training, Crossfit",192
2496,Kettlebell Seated Press,"A seated shoulder press using a kettlebell, which challenges stability differently than a dumbbell.","Shoulders, Triceps",4.0,"Kettlebell Training, Strength Training",168
2497,Double Kettlebell Jerk,"A jerk performed with a kettlebell in each hand, lifting the weights from the shoulders to overhead by dipping and driving with the legs.","Full Body, Shoulders, Legs",10.0,Kettlebell Sport,192
2498,Kettlebell Arnold Press,"An Arnold press performed with kettlebells, adding a rotational component to the overhead press.","Shoulders, Deltoids, Triceps",4.8,"Kettlebell Training, Bodybuilding",168
2499,Double-kettlebell windmill,"The double-kettlebell windmill is an advanced kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. Because it involves holding one weight overhead while holding another under the torso, it builds strength across the core and stability in the shoulders. It doesn't work well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.","Shoulders, Obliques, Hamstrings, Full Body",6.0,"Kettlebell Training, Mobility",192
